,GM,DAY,DATE,ET,LOCAL,AWAY,HOME,AWAY.TV,DUR,HH.RTG,HH.SHR,HH.IMP,P2..IMP,HOME.TV,DUR.1,HH.RTG.1,HH.SHR.1,HH.IMP.1,P2..IMP.1,NAT.TV,CN.TV
3741,47,Mon,11/4/2013,7:00:00 PM,7:00:00 PM,MIN,CLE,FSNN-MIN,135,2.9,5,51,51,FSO,135,3.7,6,54,68,,
3742,48,Mon,11/4/2013,7:00:00 PM,7:00:00 PM,GSW,PHI,CSN-BA,150,2.1,5,52,62,CSN-P,135,1.5,2,43,57,,
3743,49,Mon,11/4/2013,8:00:00 PM,7:00:00 PM,BOS,MEM,CSN-NE,150,2.7,4,65,73,SSO-MEM,150,3.97,5.4,27,NA,,
3744,50,Mon,11/4/2013,10:30:00 PM,7:30:00 PM,HOU,LAC,CSN-H,165,1.3,3,30,42,FSNP,165,3.3,5,188,251,NBA TV,
3745,51,Tue,11/5/2013,7:00:00 PM,7:00:00 PM,MIA,TOR,SunSpM,165,7.2,11,119,183,TSN2,NA,,,,,,TSN2
3746,52,Tue,11/5/2013,7:30:00 PM,7:30:00 PM,UTA,BRK,ROOT,150,3.3,7,31,NA,YES,150,0.9,1,68,100,,
3747,53,Tue,11/5/2013,7:30:00 PM,7:30:00 PM,IND,DET,FSI,150,3.5,5,38,NA,FSD,150,3.3,5,62,90,,
3748,54,Tue,11/5/2013,7:30:00 PM,7:30:00 PM,CHA,NYK,SSO-CHA,150,1.25,2.1,14.6,17.7,MSG,180,3.5,6,260,364,,
3749,55,Tue,11/5/2013,8:00:00 PM,7:00:00 PM,PHX,NOP,FSA,150,1.5,3,29,38,FSNO,150,2.7,3.6,18,NA,,
3750,56,Tue,11/5/2013,8:30:00 PM,7:30:00 PM,LAL,DAL,TWC SN/TWC D,135,2.8,5,159,230,FSSW-DAL,135,3.7,6,97,143,NBA TV,
3751,57,Tue,11/5/2013,9:00:00 PM,7:00:00 PM,SAS,DEN,FSSW-SA,150,7.9,13,72,NA,ASE,150,2.6,5,40,52,,
3752,58,Tue,11/5/2013,10:00:00 PM,7:00:00 PM,HOU,POR,CSN-H,165,1.1,2,26,40,CSN-POR,165,4.1,7,48,73,,
3753,59,Tue,11/5/2013,10:00:00 PM,7:00:00 PM,ATL,SAC,FSS-ATL,150,0.9,2,20,24,CSN-S,180,2.6,4,36,50,,
3754,60,Wed,11/6/2013,7:00:00 PM,7:00:00 PM,TOR,CHA,SNET,NA,,NA,NA,NA,SSO-CHA,150,0.8,1,10,14,,SNET
3755,61,Wed,11/6/2013,7:00:00 PM,7:00:00 PM,CHI,IND,CSN-C,150,3.4,6,121,149,FSI,165,2.5,4,28,NA,ESPN,
3756,62,Wed,11/6/2013,7:00:00 PM,7:00:00 PM,LAC,ORL,FSNP,150,1.5,4,85,119,FSFL,150,1.4,2,22,39,,
3757,63,Wed,11/6/2013,7:00:00 PM,7:00:00 PM,WAS,PHI,CSN-W,135,0.9,2,21,27,CSN-P,135,1.4,2,41,48,,
3758,64,Wed,11/6/2013,7:30:00 PM,7:30:00 PM,UTA,BOS,ROOT,150,2.8,6,26,NA,CSN-NE,150,2.7,4,65,80,,
3759,65,Wed,11/6/2013,8:00:00 PM,7:00:00 PM,NOP,MEM,FSNO,150,2.6,4,17,NA,SSO-MEM,150,3.2,5,21,NA,,
3760,66,Wed,11/6/2013,8:00:00 PM,7:00:00 PM,CLE,MIL,FSO,150,3.9,6,59,71,FSNWI,150,0.7,1,7,NA,,
3761,67,Wed,11/6/2013,8:00:00 PM,7:00:00 PM,GSW,MIN,CSN-BA,150,3.3,7,82,108,FSNN-MIN,150,3.9,7,69,82,,
3762,68,Wed,11/6/2013,8:30:00 PM,7:30:00 PM,PHX,SAS,FSA,135,1.5,3,29,46,FSSW-SA,135,7.6,12,66,NA,,
3763,69,Wed,11/6/2013,9:30:00 PM,8:30:00 PM,DAL,OKC,FSSW-DAL,165,2,4,53,62,FSOK,150,7.2,11,52,NA,ESPN,
3764,70,Thu,11/7/2013,7:00:00 PM,7:00:00 PM,LAC,MIA,,NA,,NA,NA,NA,,NA,,,,,TNT,
3765,71,Thu,11/7/2013,9:00:00 PM,7:00:00 PM,ATL,DEN,FSS-ATL,150,1.1,2,27,30,ASE,150,2.3,4,36,50,,
3766,72,Thu,11/7/2013,9:30:00 PM,8:30:00 PM,LAL,HOU,,NA,,NA,NA,NA,,NA,,,,,TNT,
3767,73,Fri,11/8/2013,7:00:00 PM,7:00:00 PM,NYK,CHA,MSG,150,2.6,5,191,267,SSO-CHA,150,0.68,1.3,7.8,10.4,NBA TV,
3768,74,Fri,11/8/2013,7:00:00 PM,7:00:00 PM,TOR,IND,TSN2,NA,,NA,NA,NA,FSI,135,3.9,7,43,NA,,TSN2
3769,75,Fri,11/8/2013,7:00:00 PM,7:00:00 PM,BOS,ORL,CSN-NE,165,3.4,6,82,117,FSFL,165,1.8,3,26,36,,
3770,76,Fri,11/8/2013,7:00:00 PM,7:00:00 PM,CLE,PHI,FSO,135,2.4,4,36,47,CSN-P,135,1.9,3,55,71,,
3771,77,Fri,11/8/2013,7:00:00 PM,7:00:00 PM,BRK,WAS,YES,165,1,2,73,94,CSN-W,165,1.1,2,26,30,,
3772,78,Fri,11/8/2013,7:30:00 PM,7:30:00 PM,OKC,DET,FSOK,165,3.3,5.272727273,24.18181818,NA,FSD,165,2.3,4,42,54,,
3773,79,Fri,11/8/2013,8:00:00 PM,7:00:00 PM,UTA,CHI,ROOT,150,2.92,6.5,27,NA,CSN-C,150,4.2,8,149,219,,
3774,80,Fri,11/8/2013,8:00:00 PM,7:00:00 PM,DAL,MIN,FSSW-DAL,150,1.9,4,52,72,FSNN-MIN,150,3,6,52,71,,
3775,81,Fri,11/8/2013,8:00:00 PM,7:00:00 PM,LAL,NOP,TWC SN/TWC D,135,2.7,6,151,206,FSNO,150,4.22,6.1,27.6,NA,,
3776,82,Fri,11/8/2013,8:30:00 PM,7:30:00 PM,GSW,SAS,CSN-BA,150,3.1,7,79,102,KENS,150,11.8,20,107,NA,,
3777,83,Fri,11/8/2013,9:00:00 PM,7:00:00 PM,DEN,PHX,ASE2,150,0.98,2.22,15.4,18.7,FSA,150,1.9,4,36,51,,
3778,84,Fri,11/8/2013,10:00:00 PM,7:00:00 PM,SAC,POR,CSN-S,150,2.2,4,31,36,CSN-POR,150,2.9,6,35,53,NBA TV,
3779,85,Sat,11/9/2013,7:00:00 PM,7:00:00 PM,UTA,TOR,ROOT,150,1.9,4.4,17.6,NA,TSN2,NA,,,,,,TSN2
3780,86,Sat,11/9/2013,7:30:00 PM,7:30:00 PM,ORL,ATL,FSFL,150,0.8,1,12,9,,NA,,,,,,
3781,87,Sat,11/9/2013,7:30:00 PM,7:30:00 PM,IND,BRK,FSI,150,4.8,8,53,NA,YES,150,2.1,4,153,215,NBA TV,
3782,88,Sat,11/9/2013,7:30:00 PM,7:30:00 PM,PHI,CLE,CSN-P,165,1.5,3,44,62,FSO,195,3.3,6,50,78,,
3783,89,Sat,11/9/2013,7:30:00 PM,7:30:00 PM,BOS,MIA,CSN-NE,165,3,6,74,99,SunSpM,165,5.2,10,87,127,,
3784,90,Sat,11/9/2013,8:00:00 PM,7:00:00 PM,LAC,HOU,FSNP,165,1.4,3,81,100,CSN-H,165,0.6,1,15,27,,
3785,91,Sat,11/9/2013,8:00:00 PM,7:00:00 PM,GSW,MEM,CSN-BA,150,2.4,6,60,82,SSO-MEM,150,2.94,4.2,19.8,NA,,
3786,92,Sat,11/9/2013,8:30:00 PM,7:30:00 PM,DAL,MIL,FSSW-DAL,150,0.7,1,18,21,FSNWI,150,0.7,1,6,NA,,
3787,93,Sat,11/9/2013,10:00:00 PM,7:00:00 PM,POR,SAC,KGW,150,5,10,59,84,CSN-S,180,0,0,0,0,,
3791,94,Sun,11/10/2013,12:00:00 PM,12:00:00 PM,SAS,NYK,FSSW-SA,150,4.2,9,38,NA,MSG,150,1.5,3,109,149,,
3788,95,Sun,11/10/2013,7:00:00 PM,6:00:00 PM,WAS,OKC,CSN-W,165,0.9,1,21,23,FSOK,165,9.936363636,13.63636364,72.45454545,NA,,
3789,96,Sun,11/10/2013,8:00:00 PM,6:00:00 PM,NOP,PHX,,NA,,NA,NA,NA,FSA,135,1.2,2,22,34,,
3790,97,Sun,11/10/2013,9:30:00 PM,6:30:00 PM,MIN,LAL,FSNN-MIN,135,2.6,5,45,57,TWC SN/TWC D,135,2.3,4,129,199,,
3792,98,Mon,11/11/2013,7:00:00 PM,7:00:00 PM,ATL,CHA,FSS-ATL,150,1.1,2,25,30,SSO-CHA,150,0.59,1,6.9,8.2,,
3793,99,Mon,11/11/2013,7:00:00 PM,7:00:00 PM,MEM,IND,SSO-MEM,150,3.4,5,23,NA,FSI,150,5,7,55,NA,,
3794,100,Mon,11/11/2013,7:00:00 PM,7:00:00 PM,SAS,PHI,FSSW-SA,135,5.3,9,48,NA,CSN-P,135,1.1,2,32,51,,
3795,101,Mon,11/11/2013,7:30:00 PM,7:30:00 PM,ORL,BOS,FSFL,150,0.7,1,11,6,CSN-NE,135,3.6,6,87,110,,
3796,102,Mon,11/11/2013,8:00:00 PM,7:00:00 PM,CLE,CHI,FSO,150,4,6,59,81,CSN-C,150,5.6,9,199,268,,
3797,103,Mon,11/11/2013,8:00:00 PM,7:00:00 PM,TOR,HOU,SNET,NA,,NA,NA,NA,CSN-H,210,1.5,3,34,47,,SNET
3798,104,Mon,11/11/2013,9:00:00 PM,7:00:00 PM,DEN,UTA,ASE,150,1.7,3,27,37,ROOT,150,3.7,7,34,NA,NBA TV,
3799,105,Mon,11/11/2013,10:00:00 PM,7:00:00 PM,DET,POR,FSD,150,1.1,2,20,26,CSN-POR,150,3.1,5,36,50,,
3800,106,Mon,11/11/2013,10:30:00 PM,7:30:00 PM,MIN,LAC,FSNN-MIN,150,2.4,5,41,44,FSNP,150,2.2,4,125,143,,
3801,107,Tue,11/12/2013,7:30:00 PM,7:30:00 PM,MIL,MIA,FSNWI,135,1.2,2,11,NA,SunSpM,150,6.6,11,111,147,,
3802,108,Tue,11/12/2013,8:30:00 PM,7:30:00 PM,WAS,DAL,CSN-W+,150,0.3,NA,7,5,FSSW-DAL,150,2.9,5,77,99,,
3803,109,Tue,11/12/2013,10:30:00 PM,7:30:00 PM,DET,GSW,FSD,150,1.2,3,22,28,CSN-BA,150,3.2,6,80,116,NBA TV,
3804,110,Tue,11/12/2013,10:30:00 PM,7:30:00 PM,NOP,LAL,FSNO,150,1.6,3.2,10.7,NA,TWC SN/TWC D,135,3.8,7,215,318,,
3805,111,Wed,11/13/2013,7:00:00 PM,7:00:00 PM,MIL,ORL,FSNWI,150,0.6,1,6,NA,FSFL,150,1,2,15,21,,
3806,112,Wed,11/13/2013,7:00:00 PM,7:00:00 PM,HOU,PHI,CSN-H,180,1,2,23,27,CSN-P,180,1.7,3,52,72,,
3807,113,Wed,11/13/2013,7:30:00 PM,7:30:00 PM,CHA,BOS,SSO-CHA,150,0.94,2,10.8,13.3,CSN-NE,150,4.7,8,116,154,,
3808,114,Wed,11/13/2013,8:00:00 PM,7:00:00 PM,TOR,MEM,SNET,NA,,NA,NA,NA,SSO-MEM,150,3.4,4.9,22.8,NA,,SNET
3809,115,Wed,11/13/2013,8:00:00 PM,7:00:00 PM,CLE,MIN,FSO,135,2.3,4,35,52,FSNN-MIN,135,4.6,8,80,88,,
3810,116,Wed,11/13/2013,8:00:00 PM,8:00:00 PM,NYK,ATL,MSG,150,2.6,4,193,271,,NA,,,,,ESPN,
3811,117,Wed,11/13/2013,8:30:00 PM,7:30:00 PM,WAS,SAS,CSN-W,135,0.3,1,8,10,FSSW-SA,135,8.4,14,76,NA,,
3812,118,Wed,11/13/2013,9:00:00 PM,7:00:00 PM,LAL,DEN,TWC SN/TWC D,150,3.2,6,179,252,ASE,150,2.6,5,41,54,,
3813,119,Wed,11/13/2013,9:00:00 PM,7:00:00 PM,NOP,UTA,FSNO,150,0.48,1,3.1,NA,ROOT,150,5.27,9.5,48.6,NA,,
3814,120,Wed,11/13/2013,10:00:00 PM,7:00:00 PM,PHX,POR,FSA,135,2.6,5,48,67,CSN-POR,150,4.2,7,49,68,,
3815,121,Wed,11/13/2013,10:00:00 PM,7:00:00 PM,BRK,SAC,YES,135,0.6,1,45,58,CSN-S,150,2.5,4,35,49,,
3816,122,Wed,11/13/2013,10:30:00 PM,7:30:00 PM,OKC,LAC,FSOK,180,6.9,14,50,NA,FSNP,180,1.2,2,68,77,ESPN,
3817,123,Thu,11/14/2013,8:00:00 PM,8:00:00 PM,HOU,NYK,,NA,,NA,NA,NA,,NA,,,,,TNT,
3818,124,Thu,11/14/2013,10:30:00 PM,7:30:00 PM,OKC,GSW,,NA,,NA,NA,NA,,NA,,,,,TNT,
3819,125,Fri,11/15/2013,7:00:00 PM,7:00:00 PM,MIL,IND,FSNWI,150,0.6,1,5,NA,FSI,150,4.4,8,48,NA,,
3820,126,Fri,11/15/2013,7:00:00 PM,7:00:00 PM,CHI,TOR,WCIU,150,4.4,9,156,233,TSN,NA,,,,,,TSN
3821,127,Fri,11/15/2013,7:30:00 PM,7:30:00 PM,PHI,ATL,CSN-P,150,1.4,2,41,55,,NA,,,,,,
3822,128,Fri,11/15/2013,7:30:00 PM,7:30:00 PM,POR,BOS,CSN-POR,150,2.6,6,30,42,CSN-NE,150,1.9,4,47,54,,
3823,129,Fri,11/15/2013,7:30:00 PM,7:30:00 PM,CHA,CLE,SSO-CHA,150,0.7,1.55,8.4,9.4,FSO,135,3.2,6,47,72,,
3824,130,Fri,11/15/2013,7:30:00 PM,7:30:00 PM,DAL,MIA,FSSW-DAL,150,2.2,4,60,87,SunSpM,165,6.3,11,105,153,,
3825,131,Fri,11/15/2013,8:00:00 PM,6:00:00 PM,MIN,DEN,,NA,,NA,NA,NA,ASE,165,2.2,5,34,45,ESPN,
3826,132,Fri,11/15/2013,9:00:00 PM,7:00:00 PM,BRK,PHX,YES,165,0.9,2,69,116,FSA,165,2.6,5,49,69,,
3827,133,Fri,11/15/2013,9:00:00 PM,7:00:00 PM,SAS,UTA,FSSW-SA,135,7.9,14,72,NA,ROOT,150,4.89,9.3,45.1,NA,,
3828,134,Fri,11/15/2013,10:30:00 PM,7:30:00 PM,MEM,LAL,SSO-MEM,150,2.41,4.1,16.3,NA,TWC SN/TWC D,135,2.5,5,143,225,,
3829,135,Fri,11/15/2013,10:30:00 PM,7:30:00 PM,DET,SAC,,NA,,NA,NA,NA,,NA,,,,,ESPN,
3830,136,Sat,11/16/2013,7:00:00 PM,7:00:00 PM,MIA,CHA,SunSpM,150,5.5,11,92,129,SSO-CHA,150,1.12,2,12.9,16.7,,
3831,137,Sat,11/16/2013,7:00:00 PM,7:00:00 PM,DAL,ORL,FSSW-DAL,150,1.4,3,36,55,FSFL,150,0.7,1,10,6,,
3832,138,Sat,11/16/2013,7:00:00 PM,7:00:00 PM,CLE,WAS,FSO,165,2.3,4,34,45,CSN-W,165,0.7,1,17,22,,
3833,139,Sat,11/16/2013,7:30:00 PM,7:30:00 PM,ATL,NYK,FSS-ATL,150,1.4,2,33,60,MSG,150,2.4,4,178,271,,
3834,140,Sat,11/16/2013,8:00:00 PM,7:00:00 PM,IND,CHI,FSI,150,3,5,33,NA,WGN,150,8.2,15,291,447,,
3835,141,Sat,11/16/2013,8:00:00 PM,7:00:00 PM,DEN,HOU,ASE,150,1.3,3,21,29,CSN-H,165,1.3,3,30,45,,
3836,142,Sat,11/16/2013,8:00:00 PM,7:00:00 PM,BOS,MIN,CSN-NE,135,2,4,48,60,FSNN-MIN,135,2.8,6,49,53,,
3837,143,Sat,11/16/2013,8:00:00 PM,7:00:00 PM,PHI,NOP,CSN-P,150,0.9,2,26,27,FSNO,150,0.52,1,3.2,NA,,
3838,144,Sat,11/16/2013,8:30:00 PM,7:30:00 PM,OKC,MIL,FSOK,150,7.39,12.4,54,NA,FSNWI,135,0.8,1,7,NA,,
3839,145,Sat,11/16/2013,10:30:00 PM,7:30:00 PM,UTA,GSW,ROOT,150,2.97,5.7,27.3,NA,CSN-BA,135,3.8,8,96,144,,
3840,146,Sat,11/16/2013,10:30:00 PM,7:30:00 PM,BRK,LAC,YES,165,1.3,3,95,135,FSNP,165,1.2,2,69,90,NBA TV,
3841,147,Sun,11/17/2013,1:00:00 PM,1:00:00 PM,POR,TOR,CSN-POR,150,1.7,4,20,30,SNET360,NA,,,,,,SNET360
3842,148,Sun,11/17/2013,6:00:00 PM,3:00:00 PM,MEM,SAC,SSO-MEM,150,2.57,3.7,17.4,NA,CSN-S,165,0.9,2,12,19,,
3843,149,Sun,11/17/2013,9:30:00 PM,6:30:00 PM,DET,LAL,FSD,150,1.6,3,30,37,TWC SN/TWC D,135,2.4,4,136,208,,
3844,150,Mon,11/18/2013,7:30:00 PM,7:30:00 PM,POR,BRK,CSN-POR,150,3.2,6,38,58,YES,150,0.6,1,46,88,,
3845,151,Mon,11/18/2013,8:00:00 PM,7:00:00 PM,CHA,CHI,SSO-CHA,150,0.25,0.2,2.7,3.6,CSN-C,150,4.5,7,160,224,,
3846,152,Mon,11/18/2013,8:00:00 PM,7:00:00 PM,DEN,OKC,ASE,150,2,4,32,40,FSOK,180,10.2,14,75,NA,,
3847,153,Mon,11/18/2013,8:30:00 PM,7:30:00 PM,PHI,DAL,CSN-P,150,0.9,1,27,28,FSSW-DAL,150,2,3,54,63,,
3848,154,Mon,11/18/2013,9:00:00 PM,7:00:00 PM,GSW,UTA,CSN-BA,150,2.6,5,66,87,ROOT,150,3.2,5,29,NA,,
3849,155,Mon,11/18/2013,10:30:00 PM,7:30:00 PM,MEM,LAC,SSO-MEM,150,2.9,5,19,NA,FSNP,165,1.7,3,94,114,,
3850,156,Tue,11/19/2013,7:00:00 PM,7:00:00 PM,MIN,WAS,FSNN-MIN+,150,1.7,3,30,39,CSN-W,135,0.5,1,13,16,,
3851,157,Tue,11/19/2013,7:30:00 PM,7:30:00 PM,NYK,DET,MSG,150,2.8,4,211,245,FSD,150,2.2,3,41,52,,
3852,158,Tue,11/19/2013,7:30:00 PM,7:30:00 PM,ATL,MIA,FSS-ATL,150,2,3,48,61,SunSpM,150,9.6,15,160,233,NBA TV,
3853,159,Tue,11/19/2013,8:00:00 PM,7:00:00 PM,BOS,HOU,CSN-NE,150,2.1,3,50,69,CSN-H,150,2,3,47,70,,
3854,160,Tue,11/19/2013,10:00:00 PM,7:00:00 PM,PHX,SAC,FSA,165,2.4,4,44,59,CSN-S,180,3.1,5,43,58,,
3855,161,Wed,11/20/2013,7:00:00 PM,7:00:00 PM,BRK,CHA,YES,150,0.2,NA,15,23,SSO-CHA,150,0.53,1.6,6,7,,
3856,162,Wed,11/20/2013,7:00:00 PM,7:00:00 PM,WAS,CLE,CSN-W,150,0.7,1,18,25,FSO,150,2.3,4,34,53,,
3857,163,Wed,11/20/2013,7:00:00 PM,7:00:00 PM,IND,NYK,FSI,180,3.3,5,36,NA,MSG,180,2.6,4,195,275,ESPN,
3858,164,Wed,11/20/2013,7:00:00 PM,7:00:00 PM,MIA,ORL,SunSpM,150,0,0,0,0,FSFL,150,1.6,3,24,35,,
3859,165,Wed,11/20/2013,7:00:00 PM,7:00:00 PM,TOR,PHI,SNET1,NA,,NA,NA,NA,CSN-P,150,1.2,2,35,41,,SNET1
3860,166,Wed,11/20/2013,7:30:00 PM,7:30:00 PM,DET,ATL,FSD,150,2.8,4,51,80,FSS-ATL,135,2,3,47,52,,
3861,167,Wed,11/20/2013,8:00:00 PM,7:00:00 PM,POR,MIL,CSN-POR,150,4.1,8,49,75,FSNWI,135,0.5,1,4,NA,,
3862,168,Wed,11/20/2013,8:00:00 PM,7:00:00 PM,LAC,MIN,FSNP,150,1.2,2,69,99,FSNN-MIN,150,3.6,6,63,70,,
3863,169,Wed,11/20/2013,8:00:00 PM,7:00:00 PM,UTA,NOP,ROOT,150,4.8,9,44,NA,FSNO,150,2.7,3.9,17.6,NA,,
3864,170,Wed,11/20/2013,8:30:00 PM,7:30:00 PM,BOS,SAS,CSN-NE,135,1.9,3,46,60,FSSW-SA,135,9.5,15,86,NA,,
