Date,Team,Metric,Value
2015-8-9,POR,UNQ,8010
2015-8-10,POR,UNQ,11987
2015-8-11,POR,UNQ,10162
2015-8-12,POR,UNQ,28064
2015-8-13,POR,UNQ,25794
2015-8-14,POR,UNQ,18423
2015-8-15,POR,UNQ,6847
2015-8-16,POR,UNQ,5673
2015-8-17,POR,UNQ,21357
2015-8-18,POR,UNQ,16464
2015-8-19,POR,UNQ,12323
2015-8-20,POR,UNQ,10216
2015-8-21,POR,UNQ,12111
2015-8-22,POR,UNQ,7209
2015-8-23,POR,UNQ,4849
2015-8-24,POR,UNQ,8070
2015-8-25,POR,UNQ,8241
2015-8-26,POR,UNQ,18698
2015-8-27,POR,UNQ,12838
2015-8-28,POR,UNQ,10395
2015-8-29,POR,UNQ,6439
2015-8-30,POR,UNQ,5644
2015-8-31,POR,UNQ,13402
2015-9-1,POR,UNQ,12485
2015-9-2,POR,UNQ,18478
2015-9-3,POR,UNQ,14069
2015-9-4,POR,UNQ,11467
2015-9-5,POR,UNQ,7496
2015-9-6,POR,UNQ,6309
2015-9-7,POR,UNQ,5923
2015-9-8,POR,UNQ,8243
2015-9-9,POR,UNQ,7326
2015-9-10,POR,UNQ,8367
2015-9-11,POR,UNQ,13804
2015-9-12,POR,UNQ,9362
2015-9-13,POR,UNQ,7033
2015-9-14,POR,UNQ,10370
2015-9-15,POR,UNQ,10567
2015-9-16,POR,UNQ,7761
2015-9-17,POR,UNQ,10768
2015-9-18,POR,UNQ,10762
2015-9-19,POR,UNQ,6958
2015-9-20,POR,UNQ,6508
2015-9-21,POR,UNQ,7842
2015-9-22,POR,UNQ,16035
2015-9-23,POR,UNQ,15028
2015-9-24,POR,UNQ,11637
2015-9-25,POR,UNQ,22893
2015-9-26,POR,UNQ,13207
2015-9-27,POR,UNQ,15249
2015-9-28,POR,UNQ,17550
2015-9-29,POR,UNQ,19618
2015-9-30,POR,UNQ,20298
2013-10-1,POR,UNQ,13201
2013-10-2,POR,UNQ,12307
2013-10-3,POR,UNQ,11896
2013-10-4,POR,UNQ,12439
2013-10-5,POR,UNQ,11881
2013-10-6,POR,UNQ,12354
2013-10-7,POR,UNQ,19889
2013-10-8,POR,UNQ,17521
2013-10-9,POR,UNQ,17040
2013-10-10,POR,UNQ,14091
2013-10-11,POR,UNQ,11466
2013-10-12,POR,UNQ,9471
2013-10-13,POR,UNQ,8160
2013-10-14,POR,UNQ,10008
2013-10-15,POR,UNQ,10415
2013-10-16,POR,UNQ,11741
2013-10-17,POR,UNQ,12386
2013-10-18,POR,UNQ,11636
2013-10-19,POR,UNQ,9379
2013-10-20,POR,UNQ,13056
2013-10-21,POR,UNQ,13622
2013-10-22,POR,UNQ,10355
2013-10-23,POR,UNQ,13166
2013-10-24,POR,UNQ,17307
2013-10-25,POR,UNQ,13441
2013-10-26,POR,UNQ,8133
2013-10-27,POR,UNQ,8375
2013-10-28,POR,UNQ,18414
2013-10-29,POR,UNQ,18653
2013-10-30,POR,UNQ,20958
2013-10-31,POR,UNQ,16887
2013-11-1,POR,UNQ,18182
2013-11-2,POR,UNQ,20126
2013-11-3,POR,UNQ,17083
2013-11-4,POR,UNQ,22422
2013-11-5,POR,UNQ,22456
2013-11-6,POR,UNQ,14807
2013-11-7,POR,UNQ,15964
2013-11-8,POR,UNQ,15667
2013-11-9,POR,UNQ,14547
2013-11-10,POR,UNQ,10887
2013-11-11,POR,UNQ,20394
2013-11-12,POR,UNQ,17763
2013-11-13,POR,UNQ,20617
2013-11-14,POR,UNQ,24624
