"","X","GM","DAY","DATE","ET","LOCAL","AWAY","HOME","AWAY.TV","DUR","HH.RTG","HH.SHR","HH.IMP","P2..IMP","HOME.TV","DUR.1","HH.RTG.1","HH.SHR.1","HH.IMP.1","P2..IMP.1","NAT.TV","CN.TV","Game_id","National.Rating","Average.Viewers","Average.Households","ratings"
"19",3713,19,"Thu","2013-10-31","10:30:00 PM","7:30:00 PM","GSW","LAC","",NA,"",NA,NA,NA,"",NA,"","","","","TNT","","21300019",1.7,2158,1617,0
"20",3714,20,"Fri","2013-11-1","7:00:00 PM","7:00:00 PM","CLE","CHA","FSO",150,"4.7",9,70,91,"SSO-CHA",165,"1.1","2","13","18","","","21300020",0,0,0,0
"21",3715,21,"Fri","2013-11-1","7:00:00 PM","7:00:00 PM","NOP","ORL","FSNO",150,"2.1",3,13,NA,"FSFL",150,"0.7","1","10","9","","","21300021",0,0,0,0
"22",3716,22,"Fri","2013-11-1","7:00:00 PM","7:00:00 PM","PHI","WAS","TCN-P",165,"1.1",2,33,46,"CSN-W",150,"1.5","3","36","46","","","21300022",0,0,0,0
"23",3717,23,"Fri","2013-11-1","7:30:00 PM","7:30:00 PM","TOR","ATL","SNET1",NA,"",NA,NA,NA,"FSS-ATL",150,"1.1","2","26","31","","SNET1","21300023",0,0,0,0
"24",3718,24,"Fri","2013-11-1","7:30:00 PM","7:30:00 PM","MIL","BOS","FSNWI",165,"1.1",2,10,NA,"CSN-NE",150,"3.3","6","80","114","","","21300024",0,0,0,0
"25",3719,25,"Fri","2013-11-1","8:00:00 PM","7:00:00 PM","DAL","HOU","FSSW-DAL",165,"2.6",5,69,82,"CSN-H",165,"2","4","46","65","","","21300025",0,0,0,0
"26",3720,26,"Fri","2013-11-1","8:00:00 PM","7:00:00 PM","DET","MEM","FSD",150,"4",7,74,112,"SSO-MEM",180,"3.7","6","25",NA,"","","21300026",0,0,0,0
"27",3721,27,"Fri","2013-11-1","8:00:00 PM","7:00:00 PM","OKC","MIN","FSOK",150,"6.4",10,47,NA,"FSNN-MIN",150,"2.8","6","49","64","","","21300027",0,0,0,0
"28",3722,28,"Fri","2013-11-1","8:00:00 PM","8:00:00 PM","MIA","BRK","SunSpM",195,"5",9,83,119,"YES",195,"1.8","3","133","168","ESPN","","21300028",1.9,2453,1890,0
"29",3723,29,"Fri","2013-11-1","9:00:00 PM","7:00:00 PM","POR","DEN","CSN-POR",150,"1.9",4,23,38,"ASE",165,"2.4","5","37","41","","","21300029",0,0,0,0
"30",3724,30,"Fri","2013-11-1","10:00:00 PM","7:00:00 PM","UTA","PHX","ROOT",150,"4.5",9,42,NA,"FSA",150,"2","4","38","62","","","21300030",0,0,0,0
"31",3725,31,"Fri","2013-11-1","10:00:00 PM","7:00:00 PM","LAC","SAC","FSNP",165,"1.4",3,78,102,"CSN-S",180,"2.6","5","36","48","","","21300031",0,0,0,0
"32",3726,32,"Fri","2013-11-1","10:30:00 PM","7:30:00 PM","SAS","LAL","KENS",165,"8.8",19,79,NA,"TWC SN/TWC D",165,"2.3","4","130","209","ESPN","","21300032",1.7,2176,1689,0
"33",3727,33,"Sat","2013-11-2","7:00:00 PM","7:00:00 PM","CLE","IND","FSO",150,"3.5",6,52,92,"FSI",150,"3.1","5","35",NA,"","","21300033",0,0,0,0
"34",3728,34,"Sat","2013-11-2","7:30:00 PM","7:30:00 PM","CHI","PHI","WGN",135,"8.5",16,301,444,"CSN-P",135,"1.4","2","42","63","NBA TV","","21300034",0.5,387,293,0
"35",3729,35,"Sat","2013-11-2","8:00:00 PM","7:00:00 PM","CHA","NOP","SSO-CHA",150,"1.4",3,9,12,"FSNO",150,"1.9","3","12",NA,"","","21300035",0,0,0,0
"36",3730,36,"Sat","2013-11-2","8:30:00 PM","7:30:00 PM","MEM","DAL","SSO-MEM",165,"2.6",4,18,NA,"FSSW-DAL",165,"1.8","3","48","71","","","21300036",0,0,0,0
"37",3731,37,"Sat","2013-11-2","8:30:00 PM","7:30:00 PM","TOR","MIL","TSN",NA,"",NA,NA,NA,"FSNWI",150,"1.3","2","12",NA,"","TSN","21300037",0,0,0,0
"38",3732,38,"Sat","2013-11-2","9:00:00 PM","7:00:00 PM","HOU","UTA","CSN-H",165,"1",2,24,36,"ROOT",150,"3.8","8","35",NA,"","","21300038",0,0,0,0
"39",3733,39,"Sat","2013-11-2","10:00:00 PM","7:00:00 PM","SAS","POR","FSSW-SA",150,"4.7",9,43,NA,"KGW",150,"6.1","12","72","103","","","21300039",0,0,0,0
"40",3734,40,"Sat","2013-11-2","10:30:00 PM","7:30:00 PM","SAC","GSW","CSN-S",165,"2.6",5,36,50,"CSN-BA",135,"3","7","76","102","","","21300040",0,0,0,0
"41",3735,41,"Sun","2013-11-3","6:00:00 PM","6:00:00 PM","BOS","DET","CSN-NE",150,"0.7",1,18,33,"FSD",150,"3.1","5","57","91","","","21300041",0,0,0,0
"42",3736,42,"Sun","2013-11-3","6:00:00 PM","6:00:00 PM","WAS","MIA","CSN-W",150,"1.3",2,31,40,"SunSpM",165,"5.4","9","89","137","","","21300042",0,0,0,0
"43",3737,43,"Sun","2013-11-3","6:00:00 PM","6:00:00 PM","BRK","ORL","YES",135,"0.8",1,56,106,"FSFL",150,"0.7","1","11","18","","","21300043",0,0,0,0
"44",3738,44,"Sun","2013-11-3","7:00:00 PM","6:00:00 PM","PHX","OKC","FSA",150,"2",3,37,53,"FSOK",165,"9.8","14","72",NA,"NBA TV","","21300044",0.38,348,224,0
"45",3739,45,"Sun","2013-11-3","7:30:00 PM","7:30:00 PM","MIN","NYK","FSNN-MIN+",150,"2.8",4,49,52,"MSG",150,"2.2","3","167","258","","","21300045",0,0,0,0
"46",3740,46,"Sun","2013-11-3","9:30:00 PM","6:30:00 PM","ATL","LAL","FSS-ATL",150,"0.4",1,9,12,"TWC SN/TWC D",150,"3.7","6","210","364","","","21300046",0,0,0,0
"47",3741,47,"Mon","2013-11-4","7:00:00 PM","7:00:00 PM","MIN","CLE","FSNN-MIN",135,"2.9",5,51,51,"FSO",135,"3.7","6","54","68","","","21300047",0,0,0,0
"48",3742,48,"Mon","2013-11-4","7:00:00 PM","7:00:00 PM","GSW","PHI","CSN-BA",150,"2.1",5,52,62,"CSN-P",135,"1.5","2","43","57","","","21300048",0,0,0,0
"49",3743,49,"Mon","2013-11-4","8:00:00 PM","7:00:00 PM","BOS","MEM","CSN-NE",150,"2.7",4,65,73,"SSO-MEM",150,"3.97","5.4","27",NA,"","","21300049",0,0,0,0
"50",3744,50,"Mon","2013-11-4","10:30:00 PM","7:30:00 PM","HOU","LAC","CSN-H",165,"1.3",3,30,42,"FSNP",165,"3.3","5","188","251","NBA TV","","21300050",0.46,322,270,0
"51",3745,51,"Tue","2013-11-5","7:00:00 PM","7:00:00 PM","MIA","TOR","SunSpM",165,"7.2",11,119,183,"TSN2",NA,"","","","","","TSN2","21300051",0,0,0,0
"52",3746,52,"Tue","2013-11-5","7:30:00 PM","7:30:00 PM","UTA","BRK","ROOT",150,"3.3",7,31,NA,"YES",150,"0.9","1","68","100","","","21300052",0,0,0,0
"53",3747,53,"Tue","2013-11-5","7:30:00 PM","7:30:00 PM","IND","DET","FSI",150,"3.5",5,38,NA,"FSD",150,"3.3","5","62","90","","","21300053",0,0,0,0
"54",3748,54,"Tue","2013-11-5","7:30:00 PM","7:30:00 PM","CHA","NYK","SSO-CHA",150,"1.25",2.1,14.6,17.7,"MSG",180,"3.5","6","260","364","","","21300054",0,0,0,0
"55",3749,55,"Tue","2013-11-5","8:00:00 PM","7:00:00 PM","PHX","NOP","FSA",150,"1.5",3,29,38,"FSNO",150,"2.7","3.6","18",NA,"","","21300055",0,0,0,0
"56",3750,56,"Tue","2013-11-5","8:30:00 PM","7:30:00 PM","LAL","DAL","TWC SN/TWC D",135,"2.8",5,159,230,"FSSW-DAL",135,"3.7","6","97","143","NBA TV","","21300056",0.47,316,276,0
"57",3751,57,"Tue","2013-11-5","9:00:00 PM","7:00:00 PM","SAS","DEN","FSSW-SA",150,"7.9",13,72,NA,"ASE",150,"2.6","5","40","52","","","21300057",0,0,0,0
"58",3752,58,"Tue","2013-11-5","10:00:00 PM","7:00:00 PM","HOU","POR","CSN-H",165,"1.1",2,26,40,"CSN-POR",165,"4.1","7","48","73","","","21300058",0,0,0,0
"59",3753,59,"Tue","2013-11-5","10:00:00 PM","7:00:00 PM","ATL","SAC","FSS-ATL",150,"0.9",2,20,24,"CSN-S",180,"2.6","4","36","50","","","21300059",0,0,0,0
"60",3754,60,"Wed","2013-11-6","7:00:00 PM","7:00:00 PM","TOR","CHA","SNET",NA,"",NA,NA,NA,"SSO-CHA",150,"0.8","1","10","14","","SNET","21300060",0,0,0,0
"61",3755,61,"Wed","2013-11-6","7:00:00 PM","7:00:00 PM","CHI","IND","CSN-C",150,"3.4",6,121,149,"FSI",165,"2.5","4","28",NA,"ESPN","","21300061",1.7,1956,1614,0
"62",3756,62,"Wed","2013-11-6","7:00:00 PM","7:00:00 PM","LAC","ORL","FSNP",150,"1.5",4,85,119,"FSFL",150,"1.4","2","22","39","","","21300062",0,0,0,0
"63",3757,63,"Wed","2013-11-6","7:00:00 PM","7:00:00 PM","WAS","PHI","CSN-W",135,"0.9",2,21,27,"CSN-P",135,"1.4","2","41","48","","","21300063",0,0,0,0
"64",3758,64,"Wed","2013-11-6","7:30:00 PM","7:30:00 PM","UTA","BOS","ROOT",150,"2.8",6,26,NA,"CSN-NE",150,"2.7","4","65","80","","","21300064",0,0,0,0
"65",3759,65,"Wed","2013-11-6","8:00:00 PM","7:00:00 PM","NOP","MEM","FSNO",150,"2.6",4,17,NA,"SSO-MEM",150,"3.2","5","21",NA,"","","21300065",0,0,0,0
"66",3760,66,"Wed","2013-11-6","8:00:00 PM","7:00:00 PM","CLE","MIL","FSO",150,"3.9",6,59,71,"FSNWI",150,"0.7","1","7",NA,"","","21300066",0,0,0,0
"67",3761,67,"Wed","2013-11-6","8:00:00 PM","7:00:00 PM","GSW","MIN","CSN-BA",150,"3.3",7,82,108,"FSNN-MIN",150,"3.9","7","69","82","","","21300067",0,0,0,0
"68",3762,68,"Wed","2013-11-6","8:30:00 PM","7:30:00 PM","PHX","SAS","FSA",135,"1.5",3,29,46,"FSSW-SA",135,"7.6","12","66",NA,"","","21300068",0,0,0,0
"69",3763,69,"Wed","2013-11-6","9:30:00 PM","8:30:00 PM","DAL","OKC","FSSW-DAL",165,"2",4,53,62,"FSOK",150,"7.2","11","52",NA,"ESPN","","21300069",1.7,2146,1666,0
"70",3764,70,"Thu","2013-11-7","7:00:00 PM","7:00:00 PM","LAC","MIA","",NA,"",NA,NA,NA,"",NA,"","","","","TNT","","21300070",1.8,2404,1793,0
"71",3765,71,"Thu","2013-11-7","9:00:00 PM","7:00:00 PM","ATL","DEN","FSS-ATL",150,"1.1",2,27,30,"ASE",150,"2.3","4","36","50","","","21300071",0,0,0,0
"72",3766,72,"Thu","2013-11-7","9:30:00 PM","8:30:00 PM","LAL","HOU","",NA,"",NA,NA,NA,"",NA,"","","","","TNT","","21300072",1.8,2322,1731,0
"73",3767,73,"Fri","2013-11-8","7:00:00 PM","7:00:00 PM","NYK","CHA","MSG",150,"2.6",5,191,267,"SSO-CHA",150,"0.68","1.3","7.8","10.4","NBA TV","","21300073",0.32,247,191,0
"74",3768,74,"Fri","2013-11-8","7:00:00 PM","7:00:00 PM","TOR","IND","TSN2",NA,"",NA,NA,NA,"FSI",135,"3.9","7","43",NA,"","TSN2","21300074",0,0,0,0
"75",3769,75,"Fri","2013-11-8","7:00:00 PM","7:00:00 PM","BOS","ORL","CSN-NE",165,"3.4",6,82,117,"FSFL",165,"1.8","3","26","36","","","21300075",0,0,0,0
"76",3770,76,"Fri","2013-11-8","7:00:00 PM","7:00:00 PM","CLE","PHI","FSO",135,"2.4",4,36,47,"CSN-P",135,"1.9","3","55","71","","","21300076",0,0,0,0
"77",3771,77,"Fri","2013-11-8","7:00:00 PM","7:00:00 PM","BRK","WAS","YES",165,"1",2,73,94,"CSN-W",165,"1.1","2","26","30","","","21300077",0,0,0,0
"78",3772,78,"Fri","2013-11-8","7:30:00 PM","7:30:00 PM","OKC","DET","FSOK",165,"3.3",5.272727273,24.18181818,NA,"FSD",165,"2.3","4","42","54","","","21300078",0,0,0,0
"79",3773,79,"Fri","2013-11-8","8:00:00 PM","7:00:00 PM","UTA","CHI","ROOT",150,"2.92",6.5,27,NA,"CSN-C",150,"4.2","8","149","219","","","21300079",0,0,0,0
"80",3774,80,"Fri","2013-11-8","8:00:00 PM","7:00:00 PM","DAL","MIN","FSSW-DAL",150,"1.9",4,52,72,"FSNN-MIN",150,"3","6","52","71","","","21300080",0,0,0,0
"81",3775,81,"Fri","2013-11-8","8:00:00 PM","7:00:00 PM","LAL","NOP","TWC SN/TWC D",135,"2.7",6,151,206,"FSNO",150,"4.22","6.1","27.6",NA,"","","21300081",0,0,0,0
"82",3776,82,"Fri","2013-11-8","8:30:00 PM","7:30:00 PM","GSW","SAS","CSN-BA",150,"3.1",7,79,102,"KENS",150,"11.8","20","107",NA,"","","21300082",0,0,0,0
"83",3777,83,"Fri","2013-11-8","9:00:00 PM","7:00:00 PM","DEN","PHX","ASE2",150,"0.98",2.22,15.4,18.7,"FSA",150,"1.9","4","36","51","","","21300083",0,0,0,0
"84",3778,84,"Fri","2013-11-8","10:00:00 PM","7:00:00 PM","SAC","POR","CSN-S",150,"2.2",4,31,36,"CSN-POR",150,"2.9","6","35","53","NBA TV","","21300084",0.4,294,238,0
"85",3779,85,"Sat","2013-11-9","7:00:00 PM","7:00:00 PM","UTA","TOR","ROOT",150,"1.9",4.4,17.6,NA,"TSN2",NA,"","","","","","TSN2","21300085",0,0,0,0
"86",3780,86,"Sat","2013-11-9","7:30:00 PM","7:30:00 PM","ORL","ATL","FSFL",150,"0.8",1,12,9,"",NA,"","","","","","","21300086",0,0,0,0
"87",3781,87,"Sat","2013-11-9","7:30:00 PM","7:30:00 PM","IND","BRK","FSI",150,"4.8",8,53,NA,"YES",150,"2.1","4","153","215","NBA TV","","21300087",0.5,347,296,0
"88",3782,88,"Sat","2013-11-9","7:30:00 PM","7:30:00 PM","PHI","CLE","CSN-P",165,"1.5",3,44,62,"FSO",195,"3.3","6","50","78","","","21300088",0,0,0,0
"89",3783,89,"Sat","2013-11-9","7:30:00 PM","7:30:00 PM","BOS","MIA","CSN-NE",165,"3",6,74,99,"SunSpM",165,"5.2","10","87","127","","","21300089",0,0,0,0
"90",3784,90,"Sat","2013-11-9","8:00:00 PM","7:00:00 PM","LAC","HOU","FSNP",165,"1.4",3,81,100,"CSN-H",165,"0.6","1","15","27","","","21300090",0,0,0,0
"91",3785,91,"Sat","2013-11-9","8:00:00 PM","7:00:00 PM","GSW","MEM","CSN-BA",150,"2.4",6,60,82,"SSO-MEM",150,"2.94","4.2","19.8",NA,"","","21300091",0,0,0,0
"92",3786,92,"Sat","2013-11-9","8:30:00 PM","7:30:00 PM","DAL","MIL","FSSW-DAL",150,"0.7",1,18,21,"FSNWI",150,"0.7","1","6",NA,"","","21300092",0,0,0,0
"93",3787,93,"Sat","2013-11-9","10:00:00 PM","7:00:00 PM","POR","SAC","KGW",150,"5",10,59,84,"CSN-S",180,"0","0","0","0","","","21300093",0,0,0,0
"94",3791,94,"Sun","2013-11-10","12:00:00 PM","12:00:00 PM","SAS","NYK","FSSW-SA",150,"4.2",9,38,NA,"MSG",150,"1.5","3","109","149","","","21300094",0,0,0,0
"95",3788,95,"Sun","2013-11-10","7:00:00 PM","6:00:00 PM","WAS","OKC","CSN-W",165,"0.9",1,21,23,"FSOK",165,"9.936363636","13.63636364","72.45454545",NA,"","","21300095",0,0,0,0
"96",3789,96,"Sun","2013-11-10","8:00:00 PM","6:00:00 PM","NOP","PHX","",NA,"",NA,NA,NA,"FSA",135,"1.2","2","22","34","","","21300096",0,0,0,0
"97",3790,97,"Sun","2013-11-10","9:30:00 PM","6:30:00 PM","MIN","LAL","FSNN-MIN",135,"2.6",5,45,57,"TWC SN/TWC D",135,"2.3","4","129","199","","","21300097",0,0,0,0
"98",3792,98,"Mon","2013-11-11","7:00:00 PM","7:00:00 PM","ATL","CHA","FSS-ATL",150,"1.1",2,25,30,"SSO-CHA",150,"0.59","1","6.9","8.2","","","21300098",0,0,0,0
"99",3793,99,"Mon","2013-11-11","7:00:00 PM","7:00:00 PM","MEM","IND","SSO-MEM",150,"3.4",5,23,NA,"FSI",150,"5","7","55",NA,"","","21300099",0,0,0,0
"100",3794,100,"Mon","2013-11-11","7:00:00 PM","7:00:00 PM","SAS","PHI","FSSW-SA",135,"5.3",9,48,NA,"CSN-P",135,"1.1","2","32","51","","","21300100",0,0,0,0
"101",3795,101,"Mon","2013-11-11","7:30:00 PM","7:30:00 PM","ORL","BOS","FSFL",150,"0.7",1,11,6,"CSN-NE",135,"3.6","6","87","110","","","21300101",0,0,0,0
"102",3796,102,"Mon","2013-11-11","8:00:00 PM","7:00:00 PM","CLE","CHI","FSO",150,"4",6,59,81,"CSN-C",150,"5.6","9","199","268","","","21300102",0,0,0,0
"103",3797,103,"Mon","2013-11-11","8:00:00 PM","7:00:00 PM","TOR","HOU","SNET",NA,"",NA,NA,NA,"CSN-H",210,"1.5","3","34","47","","SNET","21300103",0,0,0,0
"104",3798,104,"Mon","2013-11-11","9:00:00 PM","7:00:00 PM","DEN","UTA","ASE",150,"1.7",3,27,37,"ROOT",150,"3.7","7","34",NA,"NBA TV","","21300104",0.45,337,265,0
"105",3799,105,"Mon","2013-11-11","10:00:00 PM","7:00:00 PM","DET","POR","FSD",150,"1.1",2,20,26,"CSN-POR",150,"3.1","5","36","50","","","21300105",0,0,0,0
"106",3800,106,"Mon","2013-11-11","10:30:00 PM","7:30:00 PM","MIN","LAC","FSNN-MIN",150,"2.4",5,41,44,"FSNP",150,"2.2","4","125","143","","","21300106",0,0,0,0
"107",3801,107,"Tue","2013-11-12","7:30:00 PM","7:30:00 PM","MIL","MIA","FSNWI",135,"1.2",2,11,NA,"SunSpM",150,"6.6","11","111","147","","","21300107",0,0,0,0
"108",3802,108,"Tue","2013-11-12","8:30:00 PM","7:30:00 PM","WAS","DAL","CSN-W+",150,"0.3",NA,7,5,"FSSW-DAL",150,"2.9","5","77","99","","","21300108",0,0,0,0
"109",3803,109,"Tue","2013-11-12","10:30:00 PM","7:30:00 PM","DET","GSW","FSD",150,"1.2",3,22,28,"CSN-BA",150,"3.2","6","80","116","NBA TV","","21300109",0.34,262,201,0
"110",3804,110,"Tue","2013-11-12","10:30:00 PM","7:30:00 PM","NOP","LAL","FSNO",150,"1.6",3.2,10.7,NA,"TWC SN/TWC D",135,"3.8","7","215","318","","","21300110",0,0,0,0
"111",3805,111,"Wed","2013-11-13","7:00:00 PM","7:00:00 PM","MIL","ORL","FSNWI",150,"0.6",1,6,NA,"FSFL",150,"1","2","15","21","","","21300111",0,0,0,0
"112",3806,112,"Wed","2013-11-13","7:00:00 PM","7:00:00 PM","HOU","PHI","CSN-H",180,"1",2,23,27,"CSN-P",180,"1.7","3","52","72","","","21300112",0,0,0,0
"113",3807,113,"Wed","2013-11-13","7:30:00 PM","7:30:00 PM","CHA","BOS","SSO-CHA",150,"0.94",2,10.8,13.3,"CSN-NE",150,"4.7","8","116","154","","","21300113",0,0,0,0
"114",3808,114,"Wed","2013-11-13","8:00:00 PM","7:00:00 PM","TOR","MEM","SNET",NA,"",NA,NA,NA,"SSO-MEM",150,"3.4","4.9","22.8",NA,"","SNET","21300114",0,0,0,0
"115",3809,115,"Wed","2013-11-13","8:00:00 PM","7:00:00 PM","CLE","MIN","FSO",135,"2.3",4,35,52,"FSNN-MIN",135,"4.6","8","80","88","","","21300115",0,0,0,0
"116",3810,116,"Wed","2013-11-13","8:00:00 PM","8:00:00 PM","NYK","ATL","MSG",150,"2.6",4,193,271,"",NA,"","","","","ESPN","","21300116",1.3,1597,1292,0
"117",3811,117,"Wed","2013-11-13","8:30:00 PM","7:30:00 PM","WAS","SAS","CSN-W",135,"0.3",1,8,10,"FSSW-SA",135,"8.4","14","76",NA,"","","21300117",0,0,0,0
"118",3812,118,"Wed","2013-11-13","9:00:00 PM","7:00:00 PM","LAL","DEN","TWC SN/TWC D",150,"3.2",6,179,252,"ASE",150,"2.6","5","41","54","","","21300118",0,0,0,0
"119",3813,119,"Wed","2013-11-13","9:00:00 PM","7:00:00 PM","NOP","UTA","FSNO",150,"0.48",1,3.1,NA,"ROOT",150,"5.27","9.5","48.6",NA,"","","21300119",0,0,0,0
"120",3814,120,"Wed","2013-11-13","10:00:00 PM","7:00:00 PM","PHX","POR","FSA",135,"2.6",5,48,67,"CSN-POR",150,"4.2","7","49","68","","","21300120",0,0,0,0
"121",3815,121,"Wed","2013-11-13","10:00:00 PM","7:00:00 PM","BRK","SAC","YES",135,"0.6",1,45,58,"CSN-S",150,"2.5","4","35","49","","","21300121",0,0,0,0
"122",3816,122,"Wed","2013-11-13","10:30:00 PM","7:30:00 PM","OKC","LAC","FSOK",180,"6.9",14,50,NA,"FSNP",180,"1.2","2","68","77","ESPN","","21300122",1.5,1746,1503,0
"123",3817,123,"Thu","2013-11-14","8:00:00 PM","8:00:00 PM","HOU","NYK","",NA,"",NA,NA,NA,"",NA,"","","","","TNT","","21300123",1.6,2046,1590,0
"124",3818,124,"Thu","2013-11-14","10:30:00 PM","7:30:00 PM","OKC","GSW","",NA,"",NA,NA,NA,"",NA,"","","","","TNT","","21300124",1.6,1821,1552,0
"125",3819,125,"Fri","2013-11-15","7:00:00 PM","7:00:00 PM","MIL","IND","FSNWI",150,"0.6",1,5,NA,"FSI",150,"4.4","8","48",NA,"","","21300125",0,0,0,0
"126",3820,126,"Fri","2013-11-15","7:00:00 PM","7:00:00 PM","CHI","TOR","WCIU",150,"4.4",9,156,233,"TSN",NA,"","","","","","TSN","21300126",0,0,0,0
"127",3821,127,"Fri","2013-11-15","7:30:00 PM","7:30:00 PM","PHI","ATL","CSN-P",150,"1.4",2,41,55,"",NA,"","","","","","","21300127",0,0,0,0
"128",3822,128,"Fri","2013-11-15","7:30:00 PM","7:30:00 PM","POR","BOS","CSN-POR",150,"2.6",6,30,42,"CSN-NE",150,"1.9","4","47","54","","","21300128",0,0,0,0
"129",3823,129,"Fri","2013-11-15","7:30:00 PM","7:30:00 PM","CHA","CLE","SSO-CHA",150,"0.7",1.55,8.4,9.4,"FSO",135,"3.2","6","47","72","","","21300129",0,0,0,0
"130",3824,130,"Fri","2013-11-15","7:30:00 PM","7:30:00 PM","DAL","MIA","FSSW-DAL",150,"2.2",4,60,87,"SunSpM",165,"6.3","11","105","153","","","21300130",0,0,0,0
"131",3825,131,"Fri","2013-11-15","8:00:00 PM","6:00:00 PM","MIN","DEN","",NA,"",NA,NA,NA,"ASE",165,"2.2","5","34","45","ESPN","","21300131",1.1,1282,1089,0
"132",3826,132,"Fri","2013-11-15","9:00:00 PM","7:00:00 PM","BRK","PHX","YES",165,"0.9",2,69,116,"FSA",165,"2.6","5","49","69","","","21300132",0,0,0,0
"133",3827,133,"Fri","2013-11-15","9:00:00 PM","7:00:00 PM","SAS","UTA","FSSW-SA",135,"7.9",14,72,NA,"ROOT",150,"4.89","9.3","45.1",NA,"","","21300133",0,0,0,0
"134",3828,134,"Fri","2013-11-15","10:30:00 PM","7:30:00 PM","MEM","LAL","SSO-MEM",150,"2.41",4.1,16.3,NA,"TWC SN/TWC D",135,"2.5","5","143","225","","","21300134",0,0,0,0
"135",3829,135,"Fri","2013-11-15","10:30:00 PM","7:30:00 PM","DET","SAC","",NA,"",NA,NA,NA,"",NA,"","","","","ESPN","","21300135",1.1,1351,1072,0
"136",3830,136,"Sat","2013-11-16","7:00:00 PM","7:00:00 PM","MIA","CHA","SunSpM",150,"5.5",11,92,129,"SSO-CHA",150,"1.12","2","12.9","16.7","","","21300136",0,0,0,0
