GM,DAY,DATE,ET,LOCAL,AWAY,HOME,AWAY TV,DUR,HH RTG,HH SHR,HH IMP,P2+ IMP,HOME TV,DUR,HH RTG,HH SHR,HH IMP,P2+ IMP,NAT TV,CN TV
19,Fri,10/28/2016,7:30:00 PM,7:30:00 PM,IND,BRK,FSI,150,3.2,5,35,,YES,150,0.3,1,23,23,,
20,Fri,10/28/2016,7:30:00 PM,7:30:00 PM,ORL,DET,FSFL,135,0.6,1,9,13,FSD,135,1.9,3,35,46,,
21,Fri,10/28/2016,8:00:00 PM,7:00:00 PM,PHX,OKC,FSA,180,1.1,2,21,28,FSOK,180,6.975,11.5,50.33333333,,,
22,Fri,10/28/2016,8:00:00 PM,8:00:00 PM,CHA,MIA,FSSE-CHA,150,0.51,1,6,9.4,FS-SUN,150,3.4,6,57,86,,
23,Fri,10/28/2016,8:30:00 PM,7:30:00 PM,HOU,DAL,ROOT-SW,150,1.5,3,37,54,FSSW-DAL,150,0.6,1,16,15,,
24,Fri,10/28/2016,9:00:00 PM,7:00:00 PM,LAL,UTA,SpecSN/D,165,1.9,4,102,146,ROOT-RM,165,3.945454545,7.545454545,36.27272727,,,
25,Fri,10/28/2016,9:30:00 PM,8:30:00 PM,GSW,NOP,CSN-BA,165,5.2,10,129,174,,,,,,,ESPN,
27,Sat,10/29/2016,7:00:00 PM,7:00:00 PM,BOS,CHA,CSN-NE,150,1.2,2,28,35,FSSE-CHA,150,0.38,1,4.7,5.8,,
28,Sat,10/29/2016,7:30:00 PM,7:30:00 PM,MEM,NYK,FSSE-MEM,180,1.6,2.5,9.916666667,,MSG,180,2.4,4,176,258,,
29,Sat,10/29/2016,7:30:00 PM,7:30:00 PM,ORL,CLE,FSFL,165,0.4,1,6,13,FSO,165,2.8,4,42,59,,
30,Sat,10/29/2016,8:00:00 PM,7:00:00 PM,IND,CHI,FSI,135,1.8,3,19,,CSN-C,150,0.6,1,19,28,,
31,Sat,10/29/2016,8:00:00 PM,7:00:00 PM,BRK,MIL,YES,150,0.2,0,18,19,FSNWI,120,1.2,2,11,,,
32,Sat,10/29/2016,8:00:00 PM,7:00:00 PM,NOP,SAS,FSNO,150,1.26,2,8.1,,FSSW-SA,135,4,8,38,,NBA TV,
33,Sat,10/29/2016,9:00:00 PM,7:00:00 PM,POR,DEN,CSN-POR,150,2.4,4,28,58,ASE,210,0.9,2,15,19,,
34,Sat,10/29/2016,10:30:00 PM,7:30:00 PM,MIN,SAC,FSNN-MIN,150,2,5,35,42,CSN-S,165,2.8,5,38,74,NBA TV,
26,Sat,10/29/2016,12:30:00 PM,12:30:00 PM,ATL,PHI,FSSE-ATL,150,0.8,2,19,22,CSN-P,150,1.3,3,38,49,,
35,Sun,10/30/2016,4:30:00 PM,1:30:00 PM,UTA,LAC,ROOT-RM,150,2.24,5,20.7,,FSNP,150,0.7,2,41,53,,
36,Sun,10/30/2016,6:00:00 PM,3:00:00 PM,GSW,PHX,CSN-BA,165,6.8,15,169,242,FSA,165,1.2,2,23,27,,
37,Sun,10/30/2016,6:00:00 PM,6:00:00 PM,SAS,MIA,FSSW-SA,165,5,8,47,,FS-SUN,165,3.1,5,52,73,,
38,Sun,10/30/2016,6:00:00 PM,6:00:00 PM,MIL,DET,FSNWI,135,0.4,1,3,,FSD,135,1.3,2,24,31,,
40,Sun,10/30/2016,7:00:00 PM,6:00:00 PM,LAL,OKC,SpecSN/D,120,0.2,0,13,10,FSOK,150,6.45,9.8,46.9,,,
39,Sun,10/30/2016,8:00:00 PM,7:00:00 PM,WAS,MEM,CSN-W,165,0.5,1,14,21,FSSE-MEM,180,1.883333333,2.583333333,12,,NBA TV,
41,Sun,10/30/2016,8:00:00 PM,7:00:00 PM,DAL,HOU,FSSW-DAL,165,0.2,0,6,7,ROOT-SW,165,1.4,2,34,59,,
42,Mon,10/31/2016,7:30:00 PM,7:30:00 PM,DEN,TOR,ASE,165,0.2,0,4,5,SN1,,,,,,NBA TV,SN1
43,Mon,10/31/2016,7:30:00 PM,7:30:00 PM,CHI,BRK,CSN-C,135,2,3,70,92,YES,135,0.8,1,58,60,,
44,Mon,10/31/2016,7:30:00 PM,7:30:00 PM,SAC,ATL,CSN-S,150,1.4,3,20,28,FSSE-ATL,165,1.4,2,34,35,,
45,Mon,10/31/2016,10:30:00 PM,7:30:00 PM,PHX,LAC,FSA,150,1.3,2,24,31,FSNP,150,1.2,2,67,103,,
46,Tue,11/1/2016,7:00:00 PM,7:00:00 PM,ORL,PHI,FSFL,165,0.7,1,11,16,CSN-P,150,1.9,3,56,84,,
47,Tue,11/1/2016,7:00:00 PM,7:00:00 PM,HOU,CLE,ROOT-SW,165,2.1,4,52,65,FSO,150,9.2,15,137,212,NBA TV,
48,Tue,11/1/2016,7:00:00 PM,7:00:00 PM,LAL,IND,SpecSN/D,150,1.2,3,68,91,FSI,165,2.6,4,28,,,
49,Tue,11/1/2016,7:30:00 PM,7:30:00 PM,SAC,MIA,CSN-S,180,1.4,3,19,25,FS-SUN,180,3.6,6,61,85,,
50,Tue,11/1/2016,7:30:00 PM,7:30:00 PM,NYK,DET,MSG,135,2.2,3,159,200,FSD,135,1.9,3,36,42,,
51,Tue,11/1/2016,8:00:00 PM,7:00:00 PM,MIL,NOP,FSNWI,150,1.5,2,14,,FSNO,150,1,1,6,,,
52,Tue,11/1/2016,8:00:00 PM,7:00:00 PM,MEM,MIN,FSSE-MEM,150,1.8,3,12,,FSNN-MIN,150,2.3,4,40,52,,
53,Tue,11/1/2016,8:30:00 PM,7:30:00 PM,UTA,SAS,ROOT-RM,150,3.9,7,36,,FSSW-SA,150,5.3,8,50,,,
54,Tue,11/1/2016,10:00:00 PM,7:00:00 PM,GSW,POR,CSN-BA,150,7.8,13,195,283,CSN-POR,150,2.6,4,30,40,NBA TV,
55,Wed,11/2/2016,7:00:00 PM,7:00:00 PM,TOR,WAS,TSN,,,,,,CSN-W,150,0.5,1,13,16,,TSN
56,Wed,11/2/2016,7:00:00 PM,7:00:00 PM,PHI,CHA,CSN-P,135,1.5,2,45,67,FSSE-CHA,150,0.53,1,6.5,9.6,,
57,Wed,11/2/2016,7:30:00 PM,7:30:00 PM,DET,BRK,FSD,150,0.9,1,16,19,YES,150,0.4,1,28,36,,
58,Wed,11/2/2016,7:30:00 PM,7:30:00 PM,HOU,NYK,ROOT-SW,150,1.3,2,31,49,MSG,150,1.2,2,87,102,,
59,Wed,11/2/2016,7:30:00 PM,7:30:00 PM,LAL,ATL,SpecSN/D,150,1.4,3,76,99,FSSE-ATL,150,1.4,2,33,45,,
60,Wed,11/2/2016,8:00:00 PM,7:00:00 PM,NOP,MEM,FSNO,165,1.6,2,10,,FSSE-MEM,180,2,3,13,,,
61,Wed,11/2/2016,8:00:00 PM,8:00:00 PM,CHI,BOS,WGN,165,1,1,34,46,CSN-NE,165,1.3,2,31,38,ESPN,
62,Wed,11/2/2016,9:00:00 PM,7:00:00 PM,DAL,UTA,FSSW-DAL,150,0.6,1,16,19,ROOT-RM,150,3.1,5,28,,,
63,Wed,11/2/2016,10:00:00 PM,7:00:00 PM,POR,PHX,CSN-POR,150,2,3,23,34,FSA,165,0.8,1,15,24,,
64,Wed,11/2/2016,10:30:00 PM,7:30:00 PM,OKC,LAC,FSOK,165,2.5,5,18,,FSNP,165,0.6,1,31,37,ESPN,
65,Thu,11/3/2016,7:00:00 PM,7:00:00 PM,SAC,ORL,CSN-S,135,0.9,2,13,34,FSFL,150,0.7,1,11,16,,
66,Thu,11/3/2016,8:00:00 PM,7:00:00 PM,IND,MIL,FSI,150,3.1,5,34,,FSNWI,150,2.1,3,19,,,
67,Thu,11/3/2016,8:00:00 PM,7:00:00 PM,DEN,MIN,ASE2,135,0.2,0,3,5,FSNN-MIN,165,2.3,4,41,51,,
68,Thu,11/3/2016,8:00:00 PM,8:00:00 PM,BOS,CLE,,,,,,,,,,,,,TNT,
69,Thu,11/3/2016,10:30:00 PM,7:30:00 PM,OKC,GSW,,,,,,,,,,,,,TNT,
70,Fri,11/4/2016,7:00:00 PM,7:00:00 PM,ATL,WAS,FSSE-ATL,165,0.7,1,17,26,CSN-W,165,0.8,2,20,27,,
71,Fri,11/4/2016,7:30:00 PM,7:30:00 PM,MIA,TOR,FS-SUN,150,3.1,5,52,76,SN1,,,,,,,SN1
72,Fri,11/4/2016,7:30:00 PM,7:30:00 PM,CHA,BRK,FSSE-CHA,150,0.45,1,5.2,6.6,YES,150,0.6,1,43,48,,
73,Fri,11/4/2016,8:00:00 PM,7:00:00 PM,NYK,CHI,,,,,,,,,,,,,ESPN,
74,Fri,11/4/2016,8:00:00 PM,7:00:00 PM,LAC,MEM,FSNP,165,0.8,2,42,52,FSSE-MEM,150,1.3,1.818181818,7.545454545,,,
75,Fri,11/4/2016,8:00:00 PM,7:00:00 PM,PHX,NOP,FSA,165,1.7,3,32,44,FSNO,150,1.7,3,9.909090909,,,
76,Fri,11/4/2016,8:30:00 PM,7:30:00 PM,POR,DAL,CSN-POR,150,2.4,5,27,38,FSSW-DAL,150,0.9,2,26,30,,
77,Fri,11/4/2016,9:00:00 PM,7:00:00 PM,SAS,UTA,FSSW-SA,150,4.9,9,46,,ROOT-RM,150,3.59,7.2,32.9,,,
78,Fri,11/4/2016,10:30:00 PM,7:30:00 PM,GSW,LAL,CSN-BA,150,5.9,11,146,205,SpecSN/D,150,2,4,110,156,ESPN,
79,Sat,11/5/2016,6:00:00 PM,5:00:00 PM,MIN,OKC,FSNN-MIN,150,0.8,2,13,17,FSOK,165,4.5,7.545454545,32.72727273,,,
80,Sat,11/5/2016,7:00:00 PM,7:00:00 PM,CLE,PHI,FSO,150,4.9,8,74,110,CSN-P,150,1.9,3,57,98,,
81,Sat,11/5/2016,7:00:00 PM,7:00:00 PM,WAS,ORL,CSN-W+,150,0.5,1,12,27,FSFL,165,0.6,1,9,12,,
82,Sat,11/5/2016,7:00:00 PM,7:00:00 PM,DEN,DET,ASE,150,0.9,2,15,17,FSD,150,1.9,3,35,46,,
83,Sat,11/5/2016,7:00:00 PM,7:00:00 PM,CHI,IND,CSN-C,135,1.3,3,46,76,FSI,135,2.9,5,32,,,
84,Sat,11/5/2016,7:30:00 PM,7:30:00 PM,HOU,ATL,ROOT-SW,150,1.7,3,41,55,FSSE-ATL,150,1.3,2,31,37,,
85,Sat,11/5/2016,8:00:00 PM,7:00:00 PM,SAC,MIL,CSN-S,150,1.1,2,15,26,FSNWI,150,1.6,3,15,,,
86,Sat,11/5/2016,8:30:00 PM,7:30:00 PM,LAC,SAS,FSNP,150,1.2,3,68,105,FSSW-SA,150,3.2,6,30,,NBA TV,
88,Sun,11/6/2016,3:30:00 PM,2:30:00 PM,POR,MEM,CSN-POR,150,1.6,4,19,32,FSSE-MEM,150,2.34,3.5,14.8,,,
89,Sun,11/6/2016,6:00:00 PM,6:00:00 PM,SAC,TOR,CSN-S,150,1.4,3,19,28,SN1,,,,,,,SN1
90,Sun,11/6/2016,7:00:00 PM,6:00:00 PM,MIL,DAL,FSNWI,165,1.5,2,14,,FSSW-DAL,165,0.7,1,18,25,NBA TV,
91,Sun,11/6/2016,7:30:00 PM,7:30:00 PM,DEN,BOS,ASE2,150,0.34,1,5.4,5,CSN-NE,150,1.2,2,29,34,,
92,Sun,11/6/2016,9:30:00 PM,6:30:00 PM,PHX,LAL,FSA,165,1.9,3,36,57,SpecSN/D,165,2.4,4,133,204,,
87,Sun,11/6/2016,12:00:00 PM,12:00:00 PM,UTA,NYK,ROOT-RM,165,2.990909091,8.363636364,27.36363636,,MSG,165,0.9,2,66,90,,
93,Mon,11/7/2016,7:00:00 PM,7:00:00 PM,UTA,PHI,ROOT-RM,150,3.73,7.6,34.2,,CSN-P,135,1.7,3,49,76,NBA TV,
94,Mon,11/7/2016,7:00:00 PM,7:00:00 PM,HOU,WAS,ROOT-SW,150,1.2,2,29,48,CSN-W,135,0.7,1,17,24,,
95,Mon,11/7/2016,7:00:00 PM,7:00:00 PM,IND,CHA,FSI,135,2.5,4,28,,FSSE-CHA,150,1.136363636,1.636363636,13.45454545,19,,
96,Mon,11/7/2016,8:00:00 PM,7:00:00 PM,ORL,CHI,FSFL,135,0.6,1,9,15,WGN,135,3.4,5,116,174,,
97,Mon,11/7/2016,8:00:00 PM,7:00:00 PM,MIA,OKC,FS-SUN,165,2.5,4,42,61,FSOK,180,6.308333333,9.083333333,45.5,,,
98,Mon,11/7/2016,10:30:00 PM,7:30:00 PM,DET,LAC,FSD,150,0.5,1,10,13,FSNP,150,1,2,56,80,,
99,Mon,11/7/2016,10:30:00 PM,7:30:00 PM,NOP,GSW,FSNO,150,0.85,1.666666667,5.3,,CSN-BA,150,9.4,16,233,341,,
100,Tue,11/8/2016,7:00:00 PM,7:00:00 PM,ATL,CLE,FSSE-ATL,150,2.1,3,52,65,FSO,150,6.6,9,99,135,NBA TV,
101,Tue,11/8/2016,7:30:00 PM,7:30:00 PM,MIN,BRK,FSNN-MIN,150,1,1,17,23,YES,150,0.4,1,31,34,,
102,Tue,11/8/2016,8:00:00 PM,7:00:00 PM,DEN,MEM,ASE,165,0.5,1,7,11,FSSE-MEM,180,1.591666667,2.166666667,10,,,
103,Tue,11/8/2016,10:00:00 PM,7:00:00 PM,PHX,POR,FSA,150,1.07,1,20,24,CSN-POR,165,2.1,3.2,24.9,32,,
104,Tue,11/8/2016,10:30:00 PM,7:30:00 PM,DAL,LAL,FSSW-DAL,135,1,1,26,28,SpecSN/D,135,2,3,107,172,,
105,Tue,11/8/2016,10:30:00 PM,7:30:00 PM,NOP,SAC,FSNO,135,0.311111111,1,2,,CSN-S,150,1.8,3,25,37,NBA TV,
106,Wed,11/9/2016,7:00:00 PM,7:00:00 PM,BRK,NYK,YES,150,0.4,1,28,32,MSG,150,1.5,2,113,136,ESPN,
107,Wed,11/9/2016,7:00:00 PM,7:00:00 PM,BOS,WAS,CSN-NE,150,1,2,25,35,CSN-W,150,0.5,1,12,22,,
108,Wed,11/9/2016,7:00:00 PM,7:00:00 PM,UTA,CHA,ROOT-RM,150,3.65,7.4,33.5,,FSSE-CHA,165,1.390909091,2.181818182,16.54545455,23.45454545,,
109,Wed,11/9/2016,7:00:00 PM,7:00:00 PM,MIN,ORL,FSNN-MIN,150,1.7,3,29,34,FSFL,150,0.9,1,14,17,,
110,Wed,11/9/2016,7:00:00 PM,7:00:00 PM,PHI,IND,CSN-P,165,1.8,3,54,79,FSI,180,3.5,5,38,,,
111,Wed,11/9/2016,7:30:00 PM,7:30:00 PM,CHI,ATL,CSN-C,165,2.2,4,76,110,FSSE-ATL,165,1.9,3,45,61,,
112,Wed,11/9/2016,8:00:00 PM,7:00:00 PM,TOR,OKC,SN1,,,,,,FSOK,165,7.609090909,11.09090909,54.81818182,,,SN1
113,Wed,11/9/2016,9:00:00 PM,7:00:00 PM,DET,PHX,FSD,150,1,2,19,25,FSA,150,1.4,2,26,33,,
114,Wed,11/9/2016,9:30:00 PM,8:30:00 PM,HOU,SAS,ROOT-SW,150,1.3,2,32,46,FSSW-SA,150,3.9,7,36,,ESPN,
115,Wed,11/9/2016,10:30:00 PM,7:30:00 PM,POR,LAC,CSN-POR,150,2,3,23,32,FSNP,150,1.4,2,75,91,,
116,Wed,11/9/2016,10:30:00 PM,7:30:00 PM,DAL,GSW,FSSW-DAL,150,1.1,2,30,43,CSN-BA,150,9.6,17,240,370,,
117,Thu,11/10/2016,8:00:00 PM,7:00:00 PM,NOP,MIL,FSNO,150,0.75,1.3,5.1,,FSNWI,150,1.7,3,16,,,
118,Thu,11/10/2016,8:00:00 PM,8:00:00 PM,CHI,MIA,,,,,,,,,,,,,TNT,
119,Thu,11/10/2016,9:00:00 PM,7:00:00 PM,GSW,DEN,CSN-BA,150,7.4,15,184,262,ASE,150,0.8,1,13,15,,
120,Thu,11/10/2016,10:30:00 PM,7:30:00 PM,LAL,SAC,,,,,,,,,,,,,TNT,
121,Fri,11/11/2016,7:00:00 PM,7:00:00 PM,IND,PHI,FSI,165,3.1,5,33,,CSN-P,165,1.7,3,51,83,,
122,Fri,11/11/2016,7:00:00 PM,7:00:00 PM,CLE,WAS,FSO,150,7,12,104,156,CSN-W,150,1,2,24,29,,
123,Fri,11/11/2016,7:00:00 PM,7:00:00 PM,TOR,CHA,SN1,,,,,,FSSE-CHA,150,0.83,1.555555556,9.8,15,,SN1
124,Fri,11/11/2016,7:00:00 PM,7:00:00 PM,UTA,ORL,ROOT-RM,150,2.47,5.4,22.7,,FSFL,150,0.4,1,6,10,,
125,Fri,11/11/2016,7:30:00 PM,7:30:00 PM,NYK,BOS,MSG,150,1.8,3,132,162,CSN-NE,150,1.3,2,31,38,,
126,Fri,11/11/2016,8:00:00 PM,7:00:00 PM,LAC,OKC,FSNP,165,2,4,111,148,FSOK,165,7.936363636,12.45454545,57.27272727,,NBA TV,
127,Fri,11/11/2016,8:30:00 PM,7:30:00 PM,DET,SAS,FSD,135,0.8,1,15,26,FSSW-SA,135,5.2,9,49,,,
128,Fri,11/11/2016,10:00:00 PM,7:00:00 PM,SAC,POR,CSN-S,180,1.1,2,16,31,CSN-POR,180,3.1,6,36,63,,
129,Sat,11/12/2016,7:00:00 PM,6:00:00 PM,LAL,NOP,SpecSN/D,135,1.6,4,86,119,FSNO,135,0.955555556,1.5,6.111111111,,,
130,Sat,11/12/2016,7:00:00 PM,7:00:00 PM,BOS,IND,CSN-NE,165,1.3,3,32,45,FSI,165,3.1,5,34,,,
131,Sat,11/12/2016,7:30:00 PM,7:30:00 PM,NYK,TOR,MSG,150,1.9,3,139,183,TSN1/4,,,,,,,TSN1/4
132,Sat,11/12/2016,7:30:00 PM,7:30:00 PM,PHI,ATL,TCN-P,135,1.2,2,34,44,FSSE-ATL,135,1.8,3,43,52,,
133,Sat,11/12/2016,8:00:00 PM,7:00:00 PM,WAS,CHI,CSN-W+,150,0.5,1,12,17,WGN,150,2.9,5,99,130,,
134,Sat,11/12/2016,8:00:00 PM,7:00:00 PM,SAS,HOU,FSSW-SA,150,4.3,8,41,,ROOT-SW,165,1.7,3,41,57,,
135,Sat,11/12/2016,8:00:00 PM,7:00:00 PM,LAC,MIN,FSNP,165,1.14,2,61,98,FSNN-MIN,165,0.4,1,6,6,,
136,Sat,11/12/2016,8:00:00 PM,8:00:00 PM,UTA,MIA,ROOT-RM,180,3.783333333,7.666666667,34.83333333,,FS-SUN,150,2.2,4,37,52,,
137,Sat,11/12/2016,8:30:00 PM,7:30:00 PM,MEM,MIL,FSSE-MEM,150,1.93,3,12.3,,FSNWI,150,1.5,3,14,,,
138,Sat,11/12/2016,9:00:00 PM,7:00:00 PM,DET,DEN,FSD+,135,0.3,0,6,8,ASE,135,0.8,2,14,17,NBA TV,
139,Sat,11/12/2016,9:00:00 PM,7:00:00 PM,BRK,PHX,YES,150,0.4,1,31,40,FSA+,150,0.7,1,14,21,,
140,Sun,11/13/2016,3:30:00 PM,3:30:00 PM,CHA,CLE,FSSE-CHA,135,0.72,1.333333333,8.5,14.5,FSO,135,4.6,9,70,120,,
141,Sun,11/13/2016,7:00:00 PM,6:00:00 PM,ORL,OKC,FSFL,150,0.7,1,11,17,FSOK,180,5.591666667,8.083333333,40.41666667,,,
142,Sun,11/13/2016,7:00:00 PM,6:00:00 PM,LAL,MIN,SpecSN/D,150,1.8,4,98,146,FSNN-MIN+,150,1.3,2,22,26,,
143,Sun,11/13/2016,8:00:00 PM,5:00:00 PM,PHX,GSW,FSA,150,1.6,3,31,56,CSN-BA,150,8.6,17,214,319,,
144,Sun,11/13/2016,9:00:00 PM,6:00:00 PM,DEN,POR,ASE2,150,0,0,0,0,CSN-POR,165,2,3,23,37,,
145,Mon,11/14/2016,7:00:00 PM,7:00:00 PM,ORL,IND,FSFL,135,0.5,1,8,12,FSI,135,2.7,4,30,,,
146,Mon,11/14/2016,7:30:00 PM,7:30:00 PM,DAL,NYK,FSSW-DAL,150,0.6,1,16,16,MSG,150,1.8,3,131,155,,
147,Mon,11/14/2016,7:30:00 PM,7:30:00 PM,OKC,DET,FSOK,150,5,7,36,,FSD,135,1.6,3,31,45,,
148,Mon,11/14/2016,8:00:00 PM,7:00:00 PM,BOS,NOP,CSN-NE,165,1.5,2,36,41,FSNO,150,1.7,2,11,,,
149,Mon,11/14/2016,8:00:00 PM,7:00:00 PM,PHI,HOU,CSN-P,135,1.1,2,33,48,ROOT-SW,135,1.7,3,41,59,NBA TV,
150,Mon,11/14/2016,8:30:00 PM,7:30:00 PM,MIA,SAS,FS-SUN,150,2.2,4,37,53,FSSW-SA,150,4.9,7,46,,,
151,Mon,11/14/2016,9:00:00 PM,7:00:00 PM,MEM,UTA,FSSE-MEM,150,1.6,2,10,,ROOT-RM,165,3.8,7,35,,,
152,Mon,11/14/2016,10:30:00 PM,7:30:00 PM,BRK,LAC,YES,135,0.2,0,16,28,FSNP,135,1.3,2,71,103,,
153,Tue,11/15/2016,7:00:00 PM,7:00:00 PM,TOR,CLE,TSN1/4,,,,,,FSO,150,9,14,135,196,NBA TV,TSN1/4
154,Tue,11/15/2016,7:30:00 PM,7:30:00 PM,ATL,MIA,FSSE-ATL,165,1.7,3,41,59,FS-SUN,165,2.3,4,39,50,,
155,Tue,11/15/2016,8:00:00 PM,7:00:00 PM,CHA,MIN,FSSE-CHA,150,0.9,1.444444444,10.7,14,FSNN-MIN+,150,1.5,2,25,30,,
156,Tue,11/15/2016,10:00:00 PM,7:00:00 PM,CHI,POR,WGN,135,3.7,7,130,167,CSN-POR,150,2,3,23,35,NBA TV,
157,Tue,11/15/2016,10:30:00 PM,7:30:00 PM,BRK,LAL,YES,150,0.4,1,29,36,SpecSN/D,150,3.2,5,175,261,,
158,Wed,11/16/2016,7:00:00 PM,7:00:00 PM,WAS,PHI,CSN-W,165,0.7,1,18,25,CSN-P,165,2.2,4,66,85,,
159,Wed,11/16/2016,7:00:00 PM,7:00:00 PM,NOP,ORL,FSNO,150,1.44,2.1,9.2,,FSFL,150,0.7,1,11,15,,
160,Wed,11/16/2016,7:00:00 PM,7:00:00 PM,CLE,IND,FSO,135,6.5,10,97,137,FSI,135,3.4,5,37,,,
161,Wed,11/16/2016,7:30:00 PM,7:30:00 PM,DAL,BOS,FSSW-DAL,150,0.7,1,19,18,CSN-NE,135,2.1,3,50,66,,
162,Wed,11/16/2016,7:30:00 PM,7:30:00 PM,DET,NYK,FSD,135,1.6,3,29,47,MSG,150,2.4,4,179,234,,
163,Wed,11/16/2016,7:30:00 PM,7:30:00 PM,MIL,ATL,FSNWI,150,1.7,3,16,,FSSE-ATL,150,1.6,3,39,50,,
164,Wed,11/16/2016,8:00:00 PM,7:00:00 PM,HOU,OKC,ROOT-SW,135,2.3,4,56,67,FSOK,135,8.3,12,60,,,
165,Wed,11/16/2016,8:00:00 PM,8:00:00 PM,GSW,TOR,CSN-BA,165,8.6,19,215,324,TSN,,,,,,ESPN,TSN
166,Wed,11/16/2016,9:00:00 PM,7:00:00 PM,PHX,DEN,FSA,150,1.5,2,29,43,ASE,150,0.7,1,12,12,,
167,Wed,11/16/2016,10:30:00 PM,7:30:00 PM,MEM,LAC,,,,,,,FSNP,180,1.2,2,66,87,ESPN,
168,Wed,11/16/2016,10:30:00 PM,7:30:00 PM,SAS,SAC,FSSW-SA,150,3.6,8,34,,CSN-S,150,2.18,3.9,30,46,,
169,Thu,11/17/2016,7:00:00 PM,7:00:00 PM,NYK,WAS,MSG,150,1.2,2,88,100,CSN-W,150,0.7,1,17,25,,
170,Thu,11/17/2016,7:30:00 PM,7:30:00 PM,MIL,MIA,FSNWI,150,1.5,3,14,,FS-SUN,165,3.1,5,52,66,,
171,Thu,11/17/2016,8:00:00 PM,7:00:00 PM,POR,HOU,CSN-POR,150,1.7,3,19,25,ROOT-SW,135,1.1,2,26,43,,
172,Thu,11/17/2016,8:00:00 PM,7:00:00 PM,PHI,MIN,,,,,,,,,,,,,TNT,
173,Thu,11/17/2016,10:30:00 PM,8:30:00 PM,CHI,UTA,CSN-C,150,1.3,3,45,63,,,,,,,TNT,
174,Fri,11/18/2016,7:00:00 PM,7:00:00 PM,ATL,CHA,FSSE-ATL,135,0.8,1,19,23,FSSE-CHA,135,0.888888889,1.555555556,10.66666667,16,,
176,Fri,11/18/2016,7:00:00 PM,7:00:00 PM,PHX,IND,FSA,150,1.3,3,25,36,FSI,150,3.2,5,35,,,
175,Fri,11/18/2016,7:30:00 PM,7:30:00 PM,DET,CLE,FSD,135,0.89,2,17,30,FSO,135,8.8,15,131,194,,
177,Fri,11/18/2016,8:00:00 PM,7:00:00 PM,POR,NOP,CSN-POR,150,2.1,4,24,40,FSNO,150,2.22,3.4,14.3,,,
178,Fri,11/18/2016,8:00:00 PM,7:00:00 PM,BRK,OKC,YES,150,0.4,1,31,38,FSOK,150,6.7,11,49,,,
179,Fri,11/18/2016,8:00:00 PM,8:00:00 PM,GSW,BOS,CSN-BA,135,6.8,15,169,246,CSN-NE,150,2.1,4,51,78,ESPN,
