Season,Home,Away,Date,Attendance,Capacity
2010,UTA,NOP,2010-11-24,19237,19911
2010,CLE,MIL,2010-11-24,20562,20562
2010,LAC,SAC,2010-11-25,11504,19060
2010,ATL,WAS,2010-11-25,15042,18047
2010,MEM,GSW,2010-11-26,14753,18119
2010,CHA,HOU,2010-11-26,16473,19077
2010,DET,MIL,2010-11-26,17133,19971
2010,IND,OKC,2010-11-26,17155,18165
2010,PHX,LAC,2010-11-26,17486,19023
2010,SAS,DAL,2010-11-26,18581,18418
2010,BOS,TOR,2010-11-26,18624,18624
2010,ORL,CLE,2010-11-26,18846,18846
2010,DEN,CHI,2010-11-26,19155,19155
2010,MIA,PHI,2010-11-26,19800,19600
2010,UTA,LAL,2010-11-26,19911,19911
2010,POR,NOP,2010-11-26,20452,21538
2010,SAC,CHI,2010-11-27,13504,17317
2010,PHI,BRK,2010-11-27,14150,20328
2010,MIN,GSW,2010-11-27,14440,19356
2010,MIL,CHA,2010-11-27,15213,18717
2010,WAS,ORL,2010-11-27,16435,20356
2010,NYK,ATL,2010-11-27,19763,19812
2010,DAL,MIA,2010-11-27,20536,19200
2010,CLE,MEM,2010-11-27,20562,20562
2010,BRK,POR,2010-11-28,11448,20049
2010,NOP,SAS,2010-11-28,12449,16867
2010,HOU,OKC,2010-11-28,15316,18055
2010,DEN,PHX,2010-11-28,15482,19155
2010,DET,NYK,2010-11-28,16015,19971
2010,LAC,UTA,2010-11-28,17085,19060
2010,TOR,ATL,2010-11-28,17302,19800
2010,LAL,IND,2010-11-28,18997,18997
2010,OKC,NOP,2010-11-29,18203,18203
2010,UTA,MIL,2010-11-29,18497,19911
2010,DAL,HOU,2010-11-29,19435,19200
2010,MIA,WAS,2010-11-29,19600,19600
2010,SAC,IND,2010-11-30,10927,17317
2010,PHI,POR,2010-11-30,13556,20328
2010,MEM,LAL,2010-11-30,17638,18119
2010,GSW,SAS,2010-11-30,17877,19596
2010,ORL,DET,2010-11-30,18846,18846
2010,NYK,BRK,2010-11-30,19763,19812
2010,CLE,BOS,2010-11-30,20562,20562
2010,NOP,CHA,2010-12-1,10866,16867
2010,ATL,MEM,2010-12-1,11513,18047
2010,BRK,OKC,2010-12-1,13108,20049
2010,DEN,MIL,2010-12-1,14221,19155
2010,TOR,WAS,2010-12-1,15209,19800
2010,LAC,SAS,2010-12-1,16584,19060
2010,HOU,LAL,2010-12-1,18116,18055
2010,BOS,POR,2010-12-1,18624,18624
2010,UTA,IND,2010-12-1,18732,19911
2010,DAL,MIN,2010-12-1,19567,19200
2010,MIA,DET,2010-12-1,19600,19600
2010,CHI,ORL,2010-12-1,21435,20917
2010,GSW,PHX,2010-12-2,18328,19596
2010,CLE,MIA,2010-12-2,20562,20562
2010,ATL,PHI,2010-12-3,12140,18047
2010,CHA,BRK,2010-12-3,12183,19077
2010,WAS,POR,2010-12-3,13408,20356
2010,NOP,NYK,2010-12-3,14020,16867
2010,MEM,HOU,2010-12-3,14577,18119
2010,DEN,LAC,2010-12-3,15829,19155
2010,TOR,OKC,2010-12-3,16774,19800
2010,PHX,IND,2010-12-3,16991,19023
2010,DET,ORL,2010-12-3,18433,19971
2010,SAS,MIN,2010-12-3,18581,18418
2010,BOS,CHI,2010-12-3,18624,18624
2010,LAL,SAC,2010-12-3,18997,18997
2010,UTA,DAL,2010-12-3,19623,19911
2010,SAC,DAL,2010-12-4,12900,17317
2010,MIN,CLE,2010-12-4,14422,19356
2010,PHI,CHA,2010-12-4,14611,20328
2010,MIL,ORL,2010-12-4,16218,18717
2010,MIA,ATL,2010-12-4,19600,19600
2010,CHI,HOU,2010-12-4,21232,20917
2010,DET,CLE,2010-12-5,13081,19971
2010,DEN,MEM,2010-12-5,15017,19155
2010,BRK,BOS,2010-12-5,16196,20049
2010,TOR,NYK,2010-12-5,16891,19800
2010,PHX,WAS,2010-12-5,17430,19023
2010,SAS,NOP,2010-12-5,17571,18418
2010,OKC,GSW,2010-12-5,18203,18203
2010,POR,LAC,2010-12-5,20139,21538
2010,IND,TOR,2010-12-6,11930,18165
2010,LAC,SAC,2010-12-6,14964,19060
2010,MIL,MIA,2010-12-6,17167,18717
2010,ORL,ATL,2010-12-6,18846,18846
2010,UTA,MEM,2010-12-6,19131,19911
2010,NYK,MIN,2010-12-6,19763,19812
2010,CHI,OKC,2010-12-6,21184,20917
2010,PHI,CLE,2010-12-7,10662,20328
2010,ATL,BRK,2010-12-7,14273,18047
2010,HOU,DET,2010-12-7,14798,18055
2010,CHA,DEN,2010-12-7,15737,19077
2010,LAL,WAS,2010-12-7,18997,18997
2010,DAL,GSW,2010-12-7,19593,19200
2010,POR,PHX,2010-12-7,20151,21538
2010,NOP,DET,2010-12-8,10823,16867
2010,SAC,WAS,2010-12-8,12308,17317
2010,MIL,IND,2010-12-8,12789,18717
2010,MIN,OKC,2010-12-8,13907,19356
2010,PHX,MEM,2010-12-8,16288,19023
2010,SAS,GSW,2010-12-8,16913,18418
2010,BOS,DEN,2010-12-8,18624,18624
2010,LAC,LAL,2010-12-8,19614,19060
2010,NYK,TOR,2010-12-8,19763,19812
2010,UTA,MIA,2010-12-8,19911,19911
2010,CLE,CHI,2010-12-8,20562,20562
2010,PHI,BOS,2010-12-9,17948,20328
2010,DAL,BRK,2010-12-9,19666,19200
2010,POR,ORL,2010-12-9,20219,21538
2010,IND,CHA,2010-12-10,13128,18165
2010,MIN,DET,2010-12-10,13988,19356
2010,NOP,OKC,2010-12-10,14428,16867
2010,MIL,HOU,2010-12-10,14526,18717
2010,TOR,DEN,2010-12-10,14714,19800
2010,PHX,POR,2010-12-10,17284,19023
2010,SAS,ATL,2010-12-10,17576,18418
2010,WAS,NYK,2010-12-10,18542,20356
2010,UTA,ORL,2010-12-10,18765,19911
2010,GSW,MIA,2010-12-10,20036,19596
2010,CHI,LAL,2010-12-10,22760,20917
2010,DET,TOR,2010-12-11,13343,19971
2010,ATL,IND,2010-12-11,14131,18047
2010,LAC,MEM,2010-12-11,14970,19060
2010,HOU,CLE,2010-12-11,15532,18055
2010,SAC,MIA,2010-12-11,16396,17317
2010,CHA,BOS,2010-12-11,19603,19077
2010,DAL,UTA,2010-12-11,20074,19200
2010,CHI,MIN,2010-12-11,21102,20917
2010,PHI,NOP,2010-12-12,13884,20328
2010,BRK,LAL,2010-12-12,16561,20049
2010,SAS,POR,2010-12-12,16743,18418
2010,OKC,CLE,2010-12-12,18203,18203
2010,LAC,ORL,2010-12-12,18278,19060
2010,NYK,DEN,2010-12-12,19387,19812
2010,MEM,POR,2010-12-13,10467,18119
2010,UTA,GSW,2010-12-13,19176,19911
2010,MIA,NOP,2010-12-13,19600,19600
2010,DAL,MIL,2010-12-13,19720,19200
2010,CHI,IND,2010-12-13,21287,20917
2010,BRK,PHI,2010-12-14,10151,20049
2010,CHA,TOR,2010-12-14,12482,19077
2010,DET,ATL,2010-12-14,12526,19971
2010,HOU,SAC,2010-12-14,13414,18055
2010,DEN,ORL,2010-12-14,16247,19155
2010,WAS,LAL,2010-12-14,16513,20356
2010,GSW,MIN,2010-12-14,17615,19596
2010,PHI,LAC,2010-12-15,11775,20328
2010,MEM,CHA,2010-12-15,12219,18119
2010,NOP,SAC,2010-12-15,13325,16867
2010,PHX,MIN,2010-12-15,16977,19023
2010,SAS,MIL,2010-12-15,17644,18418
2010,TOR,CHI,2010-12-15,17750,19800
2010,OKC,HOU,2010-12-15,17997,18203
2010,IND,LAL,2010-12-15,18165,18165
2010,DAL,POR,2010-12-15,19531,19200
2010,NYK,BOS,2010-12-15,19763,19812
2010,MIA,CLE,2010-12-15,19899,19600
2010,BRK,WAS,2010-12-16,10764,20049
2010,DEN,SAS,2010-12-16,16190,19155
2010,BOS,ATL,2010-12-16,18624,18624
2010,IND,CLE,2010-12-17,12021,18165
2010,NOP,UTA,2010-12-17,14414,16867
2010,HOU,MEM,2010-12-17,14534,18055
2010,TOR,BRK,2010-12-17,14623,19800
2010,ATL,CHA,2010-12-17,15006,18047
2010,DET,LAC,2010-12-17,16046,19971
2010,OKC,SAC,2010-12-17,18203,18203
2010,NYK,MIA,2010-12-17,19763,19812
2010,POR,MIN,2010-12-17,20310,21538
2010,PHI,LAL,2010-12-17,20366,20328
2010,DAL,PHX,2010-12-17,20406,19200
2010,DEN,MIN,2010-12-18,15409,19155
2010,MIL,UTA,2010-12-18,16004,18717
2010,SAS,MEM,2010-12-18,18581,18418
2010,ORL,PHI,2010-12-18,18846,18846
2010,WAS,MIA,2010-12-18,20278,20356
2010,POR,GSW,2010-12-18,20398,21538
2010,CLE,NYK,2010-12-18,20562,20562
2010,CHI,LAC,2010-12-18,21760,20917
2010,BRK,ATL,2010-12-19,11295,20049
2010,SAC,HOU,2010-12-19,13599,17317
2010,DET,NOP,2010-12-19,16452,19971
2010,OKC,PHX,2010-12-19,18203,18203
2010,BOS,IND,2010-12-19,18624,18624
2010,TOR,LAL,2010-12-19,19935,19800
2010,IND,NOP,2010-12-20,12271,18165
2010,WAS,CHA,2010-12-20,13825,20356
2010,LAC,MIN,2010-12-20,16053,19060
2010,ATL,ORL,2010-12-20,16275,18047
2010,SAS,PHX,2010-12-20,18581,18418
2010,GSW,HOU,2010-12-20,19256,19596
2010,MIA,DAL,2010-12-20,20178,19600
2010,POR,MIL,2010-12-20,20406,21538
2010,CLE,UTA,2010-12-20,20562,20562
2010,SAC,GSW,2010-12-21,13740,17317
2010,MEM,BRK,2010-12-21,14113,18119
2010,CHA,OKC,2010-12-21,16876,19077
2010,LAL,MIL,2010-12-21,18997,18997
2010,ORL,DAL,2010-12-21,19057,18846
2010,CHI,PHI,2010-12-21,21521,20917
2010,ATL,CLE,2010-12-22,12610,18047
2010,TOR,DET,2010-12-22,15303,19800
2010,NOP,BRK,2010-12-22,15423,16867
2010,MIN,UTA,2010-12-22,15809,19356
2010,LAC,HOU,2010-12-22,17470,19060
2010,WAS,CHI,2010-12-22,18011,20356
2010,SAS,DEN,2010-12-22,18581,18418
2010,BOS,PHI,2010-12-22,18624,18624
2010,NYK,OKC,2010-12-22,19763,19812
2010,SAC,MIL,2010-12-23,12360,17317
2010,PHX,MIA,2010-12-23,18422,19023
2010,ORL,SAS,2010-12-23,18916,18846
2010,OKC,DEN,2010-12-25,18203,18203
2010,LAL,MIA,2010-12-25,18997,18997
2010,ORL,BOS,2010-12-25,19013,18846
2010,GSW,POR,2010-12-25,19596,19596
2010,NYK,CHI,2010-12-25,19763,19812
2010,IND,MEM,2010-12-26,12630,18165
2010,NOP,ATL,2010-12-26,15626,16867
2010,SAS,WAS,2010-12-26,18581,18418
2010,LAC,PHX,2010-12-26,19060,19060
2010,DEN,PHI,2010-12-26,19155,19155
2010,CLE,MIN,2010-12-26,20562,20562
2010,DET,CHI,2010-12-26,20765,19971
2010,BRK,ORL,2010-12-27,11514,20049
2010,MIN,NOP,2010-12-27,11679,19356
2010,CHA,DET,2010-12-27,14418,19077
2010,SAC,LAC,2010-12-27,14590,17317
2010,MEM,TOR,2010-12-27,14971,18119
2010,MIL,ATL,2010-12-27,16751,18717
2010,HOU,WAS,2010-12-27,18143,18055
2010,OKC,DAL,2010-12-27,18203,18203
2010,GSW,PHI,2010-12-27,19208,19596
2010,UTA,POR,2010-12-27,19911,19911
2010,DEN,POR,2010-12-28,17388,19155
2010,IND,BOS,2010-12-28,18165,18165
2010,SAS,LAL,2010-12-28,18581,18418
2010,DAL,TOR,2010-12-28,20027,19200
2010,MIA,NYK,2010-12-28,20288,19600
2010,CLE,ORL,2010-12-28,20562,20562
2010,CHI,MIL,2010-12-28,22091,20917
2010,SAC,MEM,2010-12-29,12636,17317
2010,CHA,CLE,2010-12-29,15287,19077
2010,ATL,GSW,2010-12-29,15925,18047
2010,WAS,IND,2010-12-29,16108,20356
2010,MIN,DEN,2010-12-29,17093,19356
2010,NOP,LAL,2010-12-29,18018,16867
2010,OKC,BRK,2010-12-29,18203,18203
2010,HOU,MIA,2010-12-29,18409,18055
2010,PHX,PHI,2010-12-29,18422,19023
2010,LAC,UTA,2010-12-29,19060,19060
2010,DET,BOS,2010-12-29,22076,19971
2010,ORL,NYK,2010-12-30,19090,18846
2010,DAL,SAS,2010-12-30,20604,19200
2010,POR,UTA,2010-12-30,20652,21538
2010,IND,WAS,2010-12-31,13043,18165
2010,CHA,GSW,2010-12-31,16249,19077
2010,PHX,DET,2010-12-31,17637,19023
2010,HOU,TOR,2010-12-31,18121,18055
2010,OKC,ATL,2010-12-31,18203,18203
2010,BOS,NOP,2010-12-31,18624,18624
2010,LAL,PHI,2010-12-31,18997,18997
2010,CHI,BRK,2010-12-31,21792,20917
2010,MIN,BRK,2011-1-1,12665,19356
2010,MIL,DAL,2011-1-1,13194,18717
2010,WAS,NOP,2011-1-1,16026,20356
2010,DEN,SAC,2011-1-1,17466,19155
2010,SAS,OKC,2011-1-1,18581,18418
2010,UTA,MEM,2011-1-1,19732,19911
2010,MIA,GSW,2011-1-1,20254,19600
2010,CHI,CLE,2011-1-1,21416,20917
2010,SAC,PHX,2011-1-2,12500,17317
2010,LAC,ATL,2011-1-2,16750,19060
2010,LAL,MEM,2011-1-2,18997,18997
2010,NYK,IND,2011-1-2,19763,19812
2010,TOR,BOS,2011-1-2,19986,19800
2010,POR,HOU,2011-1-2,20416,21538
2010,CLE,DAL,2011-1-2,20562,20562
2010,NOP,PHI,2011-1-3,13433,16867
2010,DEN,HOU,2011-1-3,17136,19155
2010,BOS,MIN,2011-1-3,18624,18624
2010,ORL,GSW,2011-1-3,18846,18846
2010,CHA,MIA,2011-1-3,19233,19077
2010,UTA,DET,2011-1-3,19911,19911
2010,SAC,ATL,2011-1-4,11472,17317
2010,MEM,OKC,2011-1-4,12765,18119
2010,LAL,DET,2011-1-4,18997,18997
2010,DAL,POR,2011-1-4,19514,19200
2010,NYK,SAS,2011-1-4,19763,19812
2010,MIA,MIL,2011-1-4,20215,19600
2010,CHI,TOR,2011-1-4,21290,20917
2010,PHI,WAS,2011-1-5,12434,20328
2010,NOP,GSW,2011-1-5,13532,16867
2010,HOU,POR,2011-1-5,14125,18055
2010,MIN,CHA,2011-1-5,14881,19356
2010,BRK,CHI,2011-1-5,15025,20049
2010,LAC,DEN,2011-1-5,17540,19060
2010,PHX,LAL,2011-1-5,18105,19023
2010,BOS,SAS,2011-1-5,18624,18624
2010,ORL,MIL,2011-1-5,18846,18846
2010,UTA,ATL,2011-1-5,19911,19911
2010,CLE,TOR,2011-1-5,20562,20562
2010,SAC,DEN,2011-1-6,13184,17317
2010,DAL,OKC,2011-1-6,20282,19200
2010,MIN,POR,2011-1-7,12213,19356
2010,IND,SAS,2011-1-7,14157,18165
2010,MEM,UTA,2011-1-7,14781,18119
2010,PHI,CHI,2011-1-7,15303,20328
2010,WAS,BRK,2011-1-7,16017,20356
2010,PHX,NYK,2011-1-7,17621,19023
2010,BOS,TOR,2011-1-7,18624,18624
2010,MIL,MIA,2011-1-7,18717,18717
2010,GSW,CLE,2011-1-7,18858,19596
2010,LAL,NOP,2011-1-7,18997,18997
2010,ORL,HOU,2011-1-7,19107,18846
2010,BRK,MIL,2011-1-8,12898,20049
2010,ATL,IND,2011-1-8,13547,18047
2010,CHA,WAS,2011-1-8,16038,19077
2010,HOU,UTA,2011-1-8,16113,18055
2010,OKC,MEM,2011-1-8,18203,18203
2010,DET,PHI,2011-1-8,20038,19971
2010,DAL,ORL,2011-1-8,20178,19200
2010,CHI,BOS,2011-1-8,22663,20917
2010,DEN,NOP,2011-1-9,16283,19155
2010,PHX,CLE,2011-1-9,17031,19023
2010,TOR,SAC,2011-1-9,17206,19800
2010,LAC,GSW,2011-1-9,17696,19060
2010,SAS,MIN,2011-1-9,18581,18418
2010,LAL,NYK,2011-1-9,18997,18997
2010,POR,MIA,2011-1-9,20636,21538
2010,CHA,MEM,2011-1-10,10188,19077
2010,BOS,HOU,2011-1-10,18624,18624
2010,CHI,DET,2011-1-10,21407,20917
2010,PHI,IND,2011-1-11,10890,20328
2010,MIN,SAS,2011-1-11,11209,19356
2010,DEN,PHX,2011-1-11,14874,19155
2010,WAS,SAC,2011-1-11,16226,20356
2010,LAL,CLE,2011-1-11,18997,18997
2010,POR,NYK,2011-1-11,20604,21538
2010,IND,DAL,2011-1-12,11204,18165
2010,CHA,CHI,2011-1-12,12468,19077
2010,DET,MEM,2011-1-12,13068,19971
2010,NOP,ORL,2011-1-12,13688,16867
2010,MIL,SAS,2011-1-12,14061,18717
2010,TOR,ATL,2011-1-12,14186,19800
2010,HOU,OKC,2011-1-12,16158,18055
2010,PHX,BRK,2011-1-12,16334,19023
2010,BOS,SAC,2011-1-12,18624,18624
2010,GSW,LAL,2011-1-12,19596,19596
2010,LAC,MIA,2011-1-12,19803,19060
2010,UTA,NYK,2011-1-12,19911,19911
2010,MIN,WAS,2011-1-13,11437,19356
2010,OKC,ORL,2011-1-13,18203,18203
2010,DEN,MIA,2011-1-13,19155,19155
2010,PHI,MIL,2011-1-14,12650,20328
2010,HOU,NOP,2011-1-14,13616,18055
2010,TOR,DET,2011-1-14,16924,19800
2010,PHX,POR,2011-1-14,17412,19023
2010,IND,CHI,2011-1-14,18165,18165
2010,SAS,DAL,2011-1-14,18581,18418
2010,BOS,CHA,2011-1-14,18624,18624
2010,LAL,BRK,2011-1-14,18997,18997
2010,GSW,LAC,2011-1-14,19273,19596
2010,NYK,SAC,2011-1-14,19763,19812
2010,UTA,CLE,2011-1-14,19911,19911
2010,ATL,HOU,2011-1-15,13420,18047
2010,WAS,TOR,2011-1-15,14652,20356
