Entering,Season,ATL,BOS,BRK,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
2010-9-24,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-9-25,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-9-26,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-9-27,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-9-28,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-9-29,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-9-30,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-1,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-2,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-3,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-4,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-5,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-6,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-7,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-8,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-9,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-10,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-11,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-12,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-13,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-14,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-15,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-16,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-17,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-18,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-19,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-20,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-21,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-22,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-23,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-24,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-25,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-26,2010-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-10-27,2010-11,-,1,-,-,-,-,-,-,-,-,0,-,-,1,-,0,-,-,-,-,-,-,-,0,1,-,-,-,-,-
2010-10-28,2010-11,1,0.5,1,0,0,1,1,1,0,1,0,0,0,1,0,0.5,0,0,1,1,1,-,0,0,1,1,1,0,0,-
2010-10-29,2010-11,1,0.5,1,0,0,1,1,1,0,1,0,0,0,1,0,0.5,0,0,1,1,1,1,0,0.5,1,1,1,0,0,0
2010-10-30,2010-11,1,0.666666667,1,0,0,0.5,0.5,0.5,0,1,0,0.5,0,1,0.5,0.666666667,0,0.5,1,0.5,1,0.5,0,0.333333333,1,0.5,1,0.5,0,0
2010-10-31,2010-11,1,0.666666667,1,0,0.5,0.333333333,0.5,0.666666667,0,1,0,0.666666667,0,1,0.666666667,0.666666667,0.333333333,0.333333333,1,0.333333333,1,0.5,0,0.333333333,1,0.666666667,0.5,0.5,0,0
2010-11-1,2010-11,1,0.666666667,0.666666667,0,0.5,0.333333333,0.666666667,0.666666667,0,0.666666667,0,0.666666667,0,1,0.666666667,0.75,0.333333333,0.333333333,1,0.333333333,0.666666667,0.5,0,0.333333333,1,0.666666667,0.5,0.5,0.333333333,0
2010-11-2,2010-11,1,0.666666667,0.666666667,0,0.666666667,0.333333333,0.666666667,0.666666667,0,0.666666667,0,0.666666667,0,1,0.666666667,0.75,0.333333333,0.333333333,1,0.333333333,0.666666667,0.5,0,0.333333333,0.75,0.75,0.666666667,0.333333333,0.333333333,0
2010-11-3,2010-11,1,0.75,0.666666667,0,0.666666667,0.25,0.666666667,0.666666667,0,0.666666667,0,0.666666667,0,1,0.5,0.8,0.25,0.25,1,0.333333333,0.666666667,0.5,0,0.333333333,0.8,0.75,0.666666667,0.333333333,0.333333333,0.333333333
2010-11-4,2010-11,1,0.8,0.5,0.25,0.666666667,0.25,0.75,0.5,0,0.75,0,0.5,0.2,1,0.4,0.8,0.2,0.2,1,0.333333333,0.5,0.666666667,0.2,0.25,0.8,0.6,0.75,0.25,0.5,0.333333333
2010-11-5,2010-11,1,0.8,0.5,0.25,0.5,0.25,0.75,0.5,0,0.75,0,0.5,0.2,1,0.4,0.8,0.2,0.2,1,0.5,0.6,0.666666667,0.2,0.25,0.666666667,0.6,0.75,0.25,0.5,0.333333333
2010-11-6,2010-11,1,0.833333333,0.4,0.2,0.4,0.4,0.75,0.6,0.166666667,0.8,0,0.4,0.166666667,1,0.333333333,0.666666667,0.333333333,0.166666667,1,0.6,0.6,0.75,0.166666667,0.4,0.666666667,0.6,0.75,0.2,0.4,0.25
2010-11-7,2010-11,1,0.833333333,0.333333333,0.166666667,0.4,0.5,0.6,0.666666667,0.166666667,0.8,0,0.4,0.142857143,1,0.428571429,0.714285714,0.285714286,0.166666667,1,0.6,0.6,0.8,0.166666667,0.4,0.714285714,0.5,0.8,0.166666667,0.5,0.2
2010-11-8,2010-11,0.857142857,0.857142857,0.333333333,0.166666667,0.4,0.5,0.6,0.666666667,0.285714286,0.666666667,0.166666667,0.4,0.142857143,1,0.428571429,0.714285714,0.285714286,0.142857143,1,0.5,0.5,0.8,0.285714286,0.5,0.625,0.5,0.8,0.166666667,0.5,0.2
2010-11-9,2010-11,0.75,0.75,0.333333333,0.142857143,0.5,0.5,0.666666667,0.571428571,0.285714286,0.714285714,0.166666667,0.4,0.142857143,1,0.5,0.714285714,0.285714286,0.142857143,1,0.5,0.5,0.833333333,0.285714286,0.428571429,0.625,0.5,0.833333333,0.142857143,0.5,0.2
2010-11-10,2010-11,0.75,0.75,0.285714286,0.142857143,0.5,0.571428571,0.666666667,0.5,0.25,0.714285714,0.166666667,0.5,0.125,1,0.5,0.625,0.375,0.125,1,0.428571429,0.5,0.833333333,0.285714286,0.428571429,0.666666667,0.5,0.833333333,0.142857143,0.571428571,0.2
2010-11-11,2010-11,0.666666667,0.75,0.375,0.25,0.5,0.5,0.714285714,0.5,0.25,0.75,0.142857143,0.5,0.111111111,1,0.444444444,0.625,0.444444444,0.222222222,1,0.375,0.571428571,0.714285714,0.25,0.428571429,0.666666667,0.428571429,0.857142857,0.125,0.625,0.333333333
2010-11-12,2010-11,0.666666667,0.777777778,0.375,0.25,0.571428571,0.5,0.714285714,0.555555556,0.25,0.666666667,0.142857143,0.5,0.111111111,0.888888889,0.444444444,0.555555556,0.444444444,0.222222222,1,0.375,0.571428571,0.714285714,0.25,0.428571429,0.666666667,0.428571429,0.857142857,0.125,0.625,0.333333333
2010-11-13,2010-11,0.6,0.777777778,0.375,0.333333333,0.571428571,0.5,0.75,0.555555556,0.333333333,0.666666667,0.25,0.428571429,0.1,0.888888889,0.444444444,0.555555556,0.444444444,0.3,1,0.333333333,0.625,0.625,0.222222222,0.5,0.6,0.375,0.857142857,0.222222222,0.666666667,0.285714286
2010-11-14,2010-11,0.6,0.8,0.333333333,0.3,0.625,0.444444444,0.75,0.555555556,0.333333333,0.6,0.25,0.5,0.1,0.888888889,0.4,0.6,0.5,0.3,1,0.333333333,0.625,0.666666667,0.2,0.5,0.545454545,0.375,0.875,0.2,0.7,0.25
2010-11-15,2010-11,0.636363636,0.8,0.333333333,0.3,0.625,0.444444444,0.75,0.555555556,0.4,0.6,0.333333333,0.5,0.1,0.8,0.4,0.6,0.5,0.272727273,1,0.3,0.555555556,0.666666667,0.2,0.555555556,0.545454545,0.333333333,0.888888889,0.2,0.7,0.25
2010-11-16,2010-11,0.636363636,0.8,0.4,0.363636364,0.625,0.444444444,0.777777778,0.5,0.363636364,0.636363636,0.333333333,0.5,0.090909091,0.8,0.363636364,0.6,0.5,0.25,0.888888889,0.3,0.6,0.7,0.2,0.6,0.545454545,0.333333333,0.888888889,0.2,0.636363636,0.25
2010-11-17,2010-11,0.666666667,0.8,0.4,0.363636364,0.666666667,0.5,0.777777778,0.545454545,0.363636364,0.636363636,0.3,0.444444444,0.090909091,0.818181818,0.333333333,0.6,0.454545455,0.25,0.888888889,0.272727273,0.6,0.7,0.181818182,0.6,0.583333333,0.333333333,0.888888889,0.181818182,0.636363636,0.333333333
2010-11-18,2010-11,0.666666667,0.818181818,0.363636364,0.363636364,0.6,0.5,0.7,0.545454545,0.333333333,0.636363636,0.272727273,0.444444444,0.083333333,0.833333333,0.333333333,0.636363636,0.454545455,0.307692308,0.9,0.333333333,0.636363636,0.7,0.166666667,0.545454545,0.583333333,0.3,0.9,0.25,0.666666667,0.3
2010-11-19,2010-11,0.666666667,0.818181818,0.363636364,0.363636364,0.6,0.5,0.7,0.5,0.333333333,0.636363636,0.272727273,0.5,0.076923077,0.833333333,0.333333333,0.636363636,0.454545455,0.307692308,0.9,0.333333333,0.636363636,0.727272727,0.166666667,0.5,0.615384615,0.3,0.9,0.25,0.666666667,0.3
2010-11-20,2010-11,0.666666667,0.75,0.333333333,0.333333333,0.636363636,0.454545455,0.636363636,0.5,0.333333333,0.583333333,0.25,0.5,0.076923077,0.846153846,0.307692308,0.666666667,0.416666667,0.285714286,0.909090909,0.384615385,0.666666667,0.727272727,0.230769231,0.5,0.615384615,0.363636364,0.909090909,0.307692308,0.615384615,0.363636364
2010-11-21,2010-11,0.615384615,0.75,0.307692308,0.384615385,0.636363636,0.416666667,0.666666667,0.538461538,0.333333333,0.583333333,0.25,0.454545455,0.071428571,0.846153846,0.357142857,0.615384615,0.384615385,0.285714286,0.909090909,0.428571429,0.692307692,0.75,0.230769231,0.461538462,0.571428571,0.363636364,0.916666667,0.307692308,0.642857143,0.363636364
2010-11-22,2010-11,0.615384615,0.692307692,0.307692308,0.384615385,0.636363636,0.416666667,0.666666667,0.538461538,0.384615385,0.538461538,0.25,0.454545455,0.071428571,0.857142857,0.357142857,0.615384615,0.384615385,0.285714286,0.916666667,0.428571429,0.692307692,0.75,0.230769231,0.461538462,0.571428571,0.333333333,0.916666667,0.357142857,0.642857143,0.333333333
2010-11-23,2010-11,0.571428571,0.714285714,0.307692308,0.384615385,0.636363636,0.416666667,0.666666667,0.571428571,0.384615385,0.5,0.230769231,0.5,0.133333333,0.857142857,0.357142857,0.571428571,0.384615385,0.266666667,0.846153846,0.428571429,0.714285714,0.692307692,0.230769231,0.5,0.571428571,0.307692308,0.923076923,0.357142857,0.666666667,0.333333333
2010-11-24,2010-11,0.533333333,0.714285714,0.357142857,0.357142857,0.583333333,0.384615385,0.692307692,0.571428571,0.357142857,0.5,0.230769231,0.538461538,0.133333333,0.866666667,0.357142857,0.571428571,0.384615385,0.266666667,0.846153846,0.466666667,0.714285714,0.692307692,0.214285714,0.5,0.571428571,0.307692308,0.923076923,0.357142857,0.666666667,0.384615385
2010-11-25,2010-11,0.533333333,0.733333333,0.333333333,0.333333333,0.615384615,0.428571429,0.714285714,0.571428571,0.333333333,0.466666667,0.285714286,0.538461538,0.133333333,0.866666667,0.4,0.533333333,0.357142857,0.25,0.785714286,0.5,0.666666667,0.714285714,0.2,0.466666667,0.571428571,0.307692308,0.928571429,0.4,0.6875,0.384615385
2010-11-26,2010-11,0.5625,0.733333333,0.333333333,0.333333333,0.615384615,0.428571429,0.714285714,0.571428571,0.333333333,0.466666667,0.285714286,0.538461538,0.1875,0.866666667,0.4,0.533333333,0.357142857,0.25,0.785714286,0.5,0.666666667,0.714285714,0.2,0.466666667,0.571428571,0.285714286,0.928571429,0.4,0.6875,0.357142857
2010-11-27,2010-11,0.5625,0.75,0.333333333,0.375,0.571428571,0.4,0.733333333,0.6,0.375,0.4375,0.266666667,0.5,0.176470588,0.8125,0.4375,0.5625,0.333333333,0.25,0.8,0.5,0.6875,0.733333333,0.1875,0.5,0.533333333,0.285714286,0.866666667,0.375,0.705882353,0.357142857
2010-11-28,2010-11,0.588235294,0.75,0.3125,0.352941176,0.6,0.4375,0.75,0.6,0.375,0.470588235,0.266666667,0.5,0.176470588,0.8125,0.411764706,0.529411765,0.375,0.235294118,0.8,0.470588235,0.6875,0.75,0.235294118,0.5,0.533333333,0.266666667,0.866666667,0.375,0.705882353,0.333333333
2010-11-29,2010-11,0.611111111,0.75,0.352941176,0.352941176,0.6,0.4375,0.75,0.625,0.352941176,0.470588235,0.3125,0.533333333,0.166666667,0.764705882,0.411764706,0.529411765,0.375,0.235294118,0.75,0.5,0.647058824,0.75,0.235294118,0.470588235,0.5,0.266666667,0.875,0.352941176,0.722222222,0.333333333
2010-11-30,2010-11,0.611111111,0.75,0.352941176,0.352941176,0.6,0.4375,0.764705882,0.625,0.352941176,0.470588235,0.294117647,0.533333333,0.166666667,0.764705882,0.411764706,0.555555556,0.352941176,0.235294118,0.705882353,0.5,0.666666667,0.75,0.235294118,0.470588235,0.5,0.266666667,0.875,0.352941176,0.736842105,0.3125
2010-12-1,2010-11,0.611111111,0.764705882,0.333333333,0.352941176,0.6,0.411764706,0.764705882,0.625,0.333333333,0.444444444,0.294117647,0.5625,0.166666667,0.722222222,0.444444444,0.555555556,0.352941176,0.235294118,0.705882353,0.526315789,0.666666667,0.764705882,0.277777778,0.470588235,0.470588235,0.25,0.882352941,0.352941176,0.736842105,0.3125
2010-12-2,2010-11,0.631578947,0.777777778,0.315789474,0.333333333,0.5625,0.411764706,0.777777778,0.647058824,0.315789474,0.444444444,0.333333333,0.529411765,0.210526316,0.684210526,0.421052632,0.578947368,0.333333333,0.222222222,0.722222222,0.526315789,0.684210526,0.777777778,0.277777778,0.470588235,0.444444444,0.25,0.833333333,0.388888889,0.75,0.294117647
2010-12-3,2010-11,0.631578947,0.777777778,0.315789474,0.333333333,0.5625,0.388888889,0.777777778,0.647058824,0.315789474,0.421052632,0.333333333,0.529411765,0.210526316,0.684210526,0.421052632,0.6,0.333333333,0.222222222,0.722222222,0.526315789,0.684210526,0.777777778,0.277777778,0.5,0.444444444,0.25,0.833333333,0.388888889,0.75,0.294117647
2010-12-4,2010-11,0.65,0.789473684,0.3,0.368421053,0.529411765,0.388888889,0.789473684,0.666666667,0.3,0.421052632,0.368421053,0.5,0.2,0.7,0.4,0.6,0.333333333,0.210526316,0.684210526,0.55,0.65,0.789473684,0.263157895,0.526315789,0.421052632,0.235294118,0.842105263,0.421052632,0.714285714,0.333333333
2010-12-5,2010-11,0.619047619,0.789473684,0.3,0.35,0.555555556,0.368421053,0.8,0.666666667,0.3,0.421052632,0.35,0.5,0.2,0.7,0.4,0.619047619,0.368421053,0.25,0.684210526,0.55,0.65,0.75,0.3,0.526315789,0.421052632,0.222222222,0.842105263,0.421052632,0.714285714,0.333333333
2010-12-6,2010-11,0.619047619,0.8,0.285714286,0.35,0.555555556,0.35,0.8,0.684210526,0.333333333,0.4,0.35,0.5,0.19047619,0.7,0.380952381,0.619047619,0.368421053,0.25,0.65,0.571428571,0.666666667,0.75,0.3,0.55,0.45,0.222222222,0.85,0.4,0.714285714,0.315789474
2010-12-7,2010-11,0.636363636,0.8,0.285714286,0.35,0.578947368,0.35,0.8,0.684210526,0.333333333,0.4,0.35,0.526315789,0.227272727,0.7,0.363636364,0.636363636,0.35,0.238095238,0.65,0.590909091,0.636363636,0.714285714,0.3,0.55,0.45,0.210526316,0.85,0.380952381,0.727272727,0.315789474
2010-12-8,2010-11,0.652173913,0.8,0.272727273,0.380952381,0.578947368,0.333333333,0.80952381,0.65,0.318181818,0.380952381,0.380952381,0.526315789,0.227272727,0.714285714,0.363636364,0.636363636,0.35,0.238095238,0.65,0.590909091,0.636363636,0.714285714,0.333333333,0.523809524,0.476190476,0.210526316,0.85,0.380952381,0.727272727,0.3
2010-12-9,2010-11,0.652173913,0.80952381,0.272727273,0.380952381,0.6,0.318181818,0.80952381,0.619047619,0.304347826,0.363636364,0.380952381,0.5,0.217391304,0.727272727,0.391304348,0.652173913,0.380952381,0.227272727,0.666666667,0.608695652,0.652173913,0.714285714,0.333333333,0.5,0.476190476,0.25,0.857142857,0.363636364,0.695652174,0.285714286
2010-12-10,2010-11,0.652173913,0.818181818,0.260869565,0.380952381,0.6,0.318181818,0.818181818,0.619047619,0.304347826,0.363636364,0.380952381,0.5,0.217391304,0.727272727,0.391304348,0.652173913,0.380952381,0.227272727,0.666666667,0.608695652,0.652173913,0.681818182,0.318181818,0.5,0.5,0.25,0.857142857,0.363636364,0.695652174,0.285714286
2010-12-11,2010-11,0.625,0.818181818,0.260869565,0.363636364,0.619047619,0.318181818,0.818181818,0.636363636,0.291666667,0.347826087,0.363636364,0.523809524,0.217391304,0.695652174,0.391304348,0.666666667,0.409090909,0.260869565,0.636363636,0.625,0.666666667,0.652173913,0.318181818,0.47826087,0.52173913,0.25,0.863636364,0.347826087,0.708333333,0.272727273
2010-12-12,2010-11,0.64,0.826086957,0.260869565,0.347826087,0.636363636,0.304347826,0.826086957,0.636363636,0.28,0.347826087,0.391304348,0.5,0.208333333,0.695652174,0.416666667,0.68,0.409090909,0.25,0.636363636,0.625,0.666666667,0.652173913,0.318181818,0.47826087,0.52173913,0.238095238,0.863636364,0.375,0.68,0.272727273
